,userid
0,8327682429
1,8151037047
2,6204432027
3,8284215929
4,8463204628
5,4666097691
6,7137069396
7,4225941680
8,3993988408
9,8238383257
10,3342386447
11,6107949768
12,3613904106
13,4508257834
14,6146121028
15,4014591489
16,4233584112
17,3115038424
18,4529707009
19,4769844440
20,4769844440
21,7751165014
22,3015544214
23,3397353164
24,4332587456
25,7373690144
26,8155741132
27,7996982554
28,2607779957
29,8248396367
30,7873771305
31,4727778213
32,3984566973
33,3121931750
34,3360195145
35,4129604072
36,8021104939
37,3121931750
38,6761031795
39,4727778213
40,4143398295
41,4370660917
42,4353553534
43,4496996701
44,6563812727
45,2688295044
46,4245119089
47,4373060642
48,6391225787
49,4317866445
50,2688295044
51,3699426558
52,3306748146
53,4210656139
54,7355957859
55,4865956927
56,4745981138
57,4672837909
58,3647234003
59,4682073515
60,8123899022
61,3612226165
62,3098865285
63,8231804355
64,4772928599
65,7133156504
66,8093125196
67,6910173592
68,3978540517
69,2580814795
70,3479257688
71,4148081824
72,6012929344
73,3363936448
74,8102276377
75,8150815192
76,3076798223
77,7382964772
78,2715034021
79,4286716085
80,3013420041
81,8091422716
82,6856056746
83,4378371935
84,7656985376
85,7197384465
86,4129604072
87,4537994881
88,8030224612
89,3794842482
90,2579422541
91,4097039879
92,8243101774
93,4491331371
94,8785472426
95,2562142957
96,4688804918
97,7656129276
98,7746204734
99,8259720556
100,8364866916
101,4378371935
102,6783734629
103,3933734204
104,4378371935
105,3664773190
106,7901333688
107,4378371935
108,7023735369
109,6238308027
110,7467110972
111,4398102614
112,7325674435
113,8036136992
114,4129604072
115,8188428034
116,3373965815
117,4689425912
118,6189880629
119,6195826580
120,8189936387
121,4515723677
122,2552762905
123,3320148934
124,2611176169
125,7751165014
126,4762719321
127,4819544964
128,8379317619
129,8984734336
130,4630799327
131,6933701488
132,4036050611
133,6823329619
134,3901896208
135,3571380194
136,6407553924
137,3511199713
138,3263633689
139,4354085238
140,6782025502
141,7283957158
142,2873394981
143,7020709945
144,7375244344
145,8212388174
146,6729104858
147,4211024747
148,3552179807
149,8734570542
150,8797694542
151,3462616254
152,4668522870
153,6391225787
154,2581628842
155,4480747986
156,6702214394
157,7942390628
158,8693425002
159,3548079738
160,7891738586
161,4321896961
162,3771603698
163,3903899622
164,6141722504
165,8785800704
166,4346022017
167,8024927547
168,7991431826
169,4914328140
170,7301360142
171,2573730168
172,3663851116
173,3970971767
174,3582232536
175,6905991164
176,4647493990
177,7576588627
178,6239616802
179,3315344685
180,7263834879
181,4007328302
182,3492797404
183,8119077852
184,6644668445
185,3320148934
186,7263834879
187,3305091652
188,7845844264
189,3903899622
190,7589939708
191,2937805868
192,7191558022
193,6052411778
194,7379351252
195,3688025602
196,3315344685
197,4471362918
198,8256747134
199,3635036402
200,7653463578
201,6360227354
202,3953885350
203,7007983832
204,8352789956
205,3729592177
206,7508580539
207,7485627639
208,3546237249
209,3603269923
210,3539444965
211,3771603698
212,3394513848
213,8821692772
214,8118633679
215,4233074339
216,3797196250
217,4576626616
218,3792123872
219,8048003994
220,3320148934
221,3536050206
222,3527422386
223,4008733315
224,4166002027
225,3988873763
226,2620963209
227,6123043995
228,3580771577
229,2738761113
230,6277868302
231,2593940593
232,3771603698
233,3320148934
234,7362254649
235,4467491505
236,2705762860
237,8263489632
238,4336261903
239,8073715408
240,8045621776
241,3378694537
242,4130423352
243,3320148934
244,2774823297
245,4384946843
246,4947483701
247,4290546779
248,4323006230
249,8834024986
250,2784087869
251,4956803699
252,2673755347
253,4323015292
254,3761294033
255,3858167432
256,3233876245
257,3659973918
258,7316677608
259,8557753304
260,3819605898
261,6788113784
262,7355191756
263,7907652548
264,3557229115
265,3828583665
266,4697183497
267,8578604639
268,6152495696
269,7079053526
270,4163544962
271,8048003994
272,6813617844
273,2673755347
274,8116515027
275,3867515398
276,4630962365
277,3320148934
278,7269433868
279,3066084186
280,3912406115
281,7561238878
282,4311136602
283,6238308027
284,8149787565
285,3746417535
286,8237847638
287,6391225787
288,7980826308
289,4033809059
290,3636244403
291,3073541818
292,2990010407
293,7215566084
294,4358509655
295,4409208166
296,7650166159
297,6391225787
298,3472947472
299,4947483701
300,4049824500
301,3470160255
302,3573288670
303,2735998598
304,8163302644
305,8021104939
306,4632326659
307,3654971357
308,8296196188
309,4145874374
310,3894135591
311,7610629074
312,2712362119
313,2570687725
314,6188569637
315,3145414320
316,3351230349
317,8327269488
318,6037815844
319,3821304302
320,7221973272
321,3191710294
322,3345462801
323,3191710294
324,6220682675
325,3511817054
326,7422529088
327,7730758702
328,3305886120
329,3636921909
330,2731424695
331,4580033180
332,3627039472
333,2711398530
334,2943265388
335,3822146136
336,3684793289
337,4367548496
338,4461282831
339,4000524084
340,2768884853
341,6726115956
342,6573020915
343,3566333261
344,2710755189
345,4004946201
346,3935882499
347,3990953880
348,4103340365
349,4261986605
