,userid
0,6880461698
1,4065557555
2,7339059896
3,6037314023
4,7035918824
5,7387943947
6,7295854018
7,8278887968
8,6141489499
9,8199024964
10,4021243563
11,4214576200
12,4214791583
13,8588888135
14,4315760245
15,4175139079
16,7328657838
17,4214969519
18,6938853784
19,7198911612
20,8724456797
21,4333262274
22,6037314023
23,4023068325
24,4331988908
25,6035767737
26,4561384680
27,4020617361
28,4214576755
29,7943635207
30,3951556376
31,8045248454
32,4215297658
33,3695461257
34,3840285924
35,8383553672
36,7824169562
37,3692933437
38,2882969238
39,8459808686
40,3110678550
41,8549077706
42,7701155617
43,4021233432
44,4020726193
45,2598282188
46,3183375147
47,3136294551
48,3670911338
49,4952086047
50,3864993963
51,4214422448
52,4832825614
53,4217588975
54,4239760080
55,2905735767
56,2682380448
57,4818257012
58,7010148605
59,4481942337
60,7834814245
61,8137763945
62,7200378787
63,3607865622
64,3607856522
65,4215319727
66,6658966409
67,7313517018
68,7691663755
69,4216992281
70,3568774847
71,8924511858
72,7472312959
73,4217228993
74,6069322368
75,3864993963
76,4239397917
77,4921157384
78,4952086047
79,4089790973
80,3864993963
81,4036267935
82,6693332008
83,6279014965
84,3916754660
85,8077711232
86,4362006562
87,8135580856
88,7811797524
89,3997811868
90,7906650739
91,8944581488
92,3695003723
93,4715455187
94,4537457328
95,2607061993
96,4955555643
97,2785750774
98,8281300765
99,7119531887
100,8031175446
101,7118778669
102,8233795389
103,4857360344
104,7606426427
105,7380615054
106,4921495786
107,8134495286
108,4952086047
109,3444570532
110,6130224577
111,3391739413
112,3530128299
113,7362254649
114,3513341710
115,8084568366
116,6738608759
117,4063800034
118,3301736018
119,4462808353
120,7345191545
121,4128127761
122,7720354602
123,2727058053
124,3713845142
125,2566671513
126,2566671513
127,2566671513
128,2566671513
129,2566671513
130,2566671513
131,6800849039
132,3138126540
133,3776034330
134,2566671513
135,2631414915
136,2631414915
137,2631414915
138,6043518298
139,7154942996
140,7001954475
141,7292698258
142,4569560429
143,7906650739
144,6043518298
145,7927420262
146,6047680630
147,3904382270
148,3518548252
149,8357367377
150,7950492075
151,8537058728
152,7878725914
153,7348737018
154,3948418160
155,8103700477
156,4952086047
157,4300571474
158,2958703041
159,3595397632
160,3117578048
161,7981743588
162,3888576502
163,3934621438
164,8807858628
165,4952086047
166,7557406144
167,2692018046
168,6150054354
169,7132639589
170,8537058728
171,8882217799
172,3678123950
173,7131783655
174,8208115864
175,3937384108
176,7684465885
177,3397439057
178,2594433325
179,6074168516
180,3307137118
181,6059908858
182,8264062429
183,2928332562
184,8192067579
185,7399505056
186,4595374164
187,4478540947
188,7244066402
189,8295411139
190,7115086867
191,2782393121
192,3486079051
193,7209851438
194,8109749537
195,3566979190
196,3385985935
197,2676169915
198,3602192364
199,7367869462
200,7584391972
201,7970271116
202,4969079499
203,2585668696
204,6030215926
205,2927174464
206,6021662076
207,8119217174
208,7805051279
209,8566202012
210,2993918780
211,7955553684
212,4008168348
213,8310890088
214,4483088105
215,4625118797
216,3094455744
217,6281122692
218,3470071674
219,7119805377
220,3364191762
221,8350088725
222,3364191762
223,7358026048
224,4790012384
225,7121816999
226,7918821486
227,6757182069
228,4347810216
229,2989562071
230,7367724024
231,6756732057
232,3660262716
233,8011860112
234,4959710343
235,7020801017
236,3531988730
237,7675121664
238,7720017219
239,3483842493
240,7998210922
241,4790528234
242,4336747904
243,4952086047
244,8729249815
245,7968351784
246,6689192075
247,6689192075
248,6060912128
249,8352105432
250,6327653086
251,3807463968
252,7292725036
253,4028277958
254,7954375488
255,3579384920
256,4553236153
