,userid
0,3901910717
1,4321317217
2,2566917358
3,3923807628
4,7225581322
5,7713318129
6,6195826580
7,3401759013
8,7370524588
9,4495189639
10,8155032585
11,3949323254
12,3589449475
13,8585178912
14,7891050067
15,3660730381
16,2602456277
17,8009910287
18,4042274011
19,4219956021
20,8643929825
21,7031032549
22,6022154576
23,2602984838
24,8287199618
25,8136776625
26,3333198990
27,2828006863
28,4853501620
29,2614138595
30,7420749437
31,3935157941
32,7466425742
33,7835852152
34,4060030905
35,4757577575
36,3000850729
37,4115574400
38,3418511072
39,7031032549
40,2841081372
41,3814444606
42,3202872005
43,3520150221
44,7031032549
45,7146843227
46,2691474567
47,3482962489
48,3729511347
49,8339084325
50,7780883026
51,3593071202
52,3568774847
53,6963493807
54,4738283052
55,2813941187
56,4092636257
57,4138877430
58,8206671506
59,2877421144
60,7031032549
61,8022539182
62,3951482046
63,3937879116
64,4868207968
65,8157893076
66,4009020215
67,8157893076
68,4922174510
69,8157893076
70,8074993596
71,7802453234
72,4089120872
73,7031032549
74,4126498890
75,4182950864
76,3962317396
77,4531706616
78,4051291320
79,6072668735
80,2748209889
81,2828995039
82,3400133741
83,3678998413
84,2906238840
85,4002439872
86,8593389908
87,2691474567
88,4079695047
89,4006910971
90,4759814674
91,2588873303
92,4714655745
93,3562714540
94,7440867532
95,6035767737
96,4505331818
97,6821900919
98,3602534199
99,3376930399
100,4006910971
101,6509190489
102,6276601658
103,3974024184
104,4483430066
105,2609845263
106,6093537046
107,6377559069
108,3403303184
109,3964769181
110,8011242476
111,4700226776
112,2589428283
113,7031032549
114,4100358024
115,3445945592
116,2835553533
117,4048301247
118,3136483253
119,2718190705
120,8719253297
121,8365293038
122,3801712435
123,7470830952
124,4356496280
125,6074970471
126,2591348694
127,3639260859
128,8321471805
129,3272067293
130,7470830952
131,3778991058
132,4969079499
133,3259440938
134,7031032549
135,2835553533
136,8157893076
137,8157893076
138,8108546125
139,3780692805
140,8157893076
141,8657761449
142,2691474567
143,2614095209
144,2662892418
145,3577809665
146,4759814674
147,2700433647
148,3879272784
149,7997658474
150,2835553533
151,3878316304
152,8157893076
153,4209521931
154,7470830952
155,4849171668
156,8157893076
157,7031032549
158,3930790477
159,3345462801
160,3643807123
161,8268066026
162,8157893076
163,6674161697
164,2793688689
165,4236789981
166,3664838527
167,3321154008
168,7066381898
169,8192116902
170,4488048684
171,7031032549
172,8008353735
173,4099166906
174,8197699469
175,3427271834
176,8157893076
177,8372384225
178,6106041871
179,7391562036
180,8104120826
181,7470830952
182,8022539182
183,3334905085
184,7031032549
185,4759814674
186,3805973132
187,8022050574
188,8157893076
189,3344606235
190,8264778845
191,4759814674
192,4056050252
193,3115479548
194,4589065207
195,3965509859
196,8157893076
197,6780964756
198,2591252465
199,4225359921
200,2660151978
201,4344927612
202,2691474567
203,3386314223
204,7956053105
205,8101653029
206,4448496389
207,3904090296
208,7239703955
209,7031032549
210,7502995288
211,6452272577
212,7050589957
213,2993918780
214,4531706616
215,7329832422
216,3645593881
217,7031032549
218,4005346173
219,6781633227
220,7403852058
221,8123033212
222,7329832422
223,8014246948
224,3558935738
225,7470830952
226,7188233508
227,6383760427
228,4675366119
229,7470830952
230,7329832422
231,4370721555
232,8141016727
233,7470830952
234,3416171030
235,3688727743
236,4608548374
237,6387310567
238,7031032549
239,2706911263
240,7906827542
241,4127052891
242,7483854567
243,4166247850
244,7465171932
245,4232114635
246,8156103075
247,2835553533
248,6141167373
249,3262841448
250,8238356575
251,4654579235
252,6723641299
253,7329832422
254,3416171030
255,8109749537
256,3566979190
257,3531988730
258,7675121664
259,2698256506
260,3441833720
261,3504228655
262,6169925675
263,3907138609
264,3937412995
265,2835553533
266,7031032549
267,3660168529
268,2583261451
269,3475278767
270,7172959605
271,4299526525
272,3475278767
273,4393475327
274,4288998618
275,2835553533
276,4326837008
277,6810548389
278,7003091878
279,7549637845
280,7871353384
281,4710824023
282,4598938790
283,4598282140
284,6318111737
285,3706486116
286,4901035833
287,4469537186
288,3659973918
289,3435673656
290,3954346951
291,6714554298
292,6169925675
293,4199477304
294,3548224053
295,3759415890
296,3606895543
297,3606895543
298,3413828899
299,2652567203
300,7651210269
301,2835553533
302,2727565969
303,7329832422
304,4284097221
305,6067227239
306,8017960375
307,2667398727
308,7031032549
309,8344573095
310,4797772094
311,4922002028
312,8210803942
313,7068529358
314,7997465476
315,7649529128
316,4895774925
317,4147864536
318,2797292428
319,2598030103
320,6791478896
321,3074701042
322,3413828899
323,7548972177
324,7529145456
325,4744928503
326,4050767291
327,4872848600
328,8029849174
329,7956053105
330,3237740624
331,2584616330
332,7031032549
333,3074701042
334,6827332137
335,3809648864
336,3674229918
337,2786837089
338,3617123679
339,2610595734
340,3103680859
341,3024263817
342,3617123679
343,3410935819
344,3671112964
345,7902918694
346,6315715546
347,3993534440
348,8340393292
349,2930870757
350,4046924885
351,4709282723
352,2722488418
353,3637541043
354,4604375385
355,4980608900
356,4340820699
357,4479418664
358,7246430972
359,4118021151
360,8891130499
361,8175487318
362,7730758702
363,4602270144
364,2727565969
365,2688097295
366,8493857817
367,3722996058
368,3537869693
369,7031032549
370,6457829149
371,3934901693
372,7470830952
373,7351374985
374,4969079499
375,3327371639
376,7757681136
377,7232769104
378,8891130499
379,4694686735
380,2827840159
381,2607691574
382,7470830952
383,4416044188
384,7324905992
385,4207781109
386,7287794778
387,6865074968
388,6900922372
389,4338736912
390,2703767849
391,3664931669
392,8009898549
393,2587123313
394,2727058053
395,3677186397
396,4840190633
397,8385142557
398,8249646179
399,3525113208
400,4351620426
401,4770362593
402,4105215093
403,6504403285
404,2722488418
405,7886282377
406,6081443962
407,4884292029
408,8355510046
409,8308876039
410,7751865879
411,3750415281
412,2722488418
413,4421897459
414,2684030918
415,4320550969
416,3639735296
417,3439018380
418,3639735296
419,8157893076
420,2722488418
421,7385597769
422,3005271747
423,7841647157
424,3771400441
425,7329832422
426,4000748869
427,4207781109
428,7578641728
429,3577423811
430,3726631056
431,8138253307
432,4421897459
433,2656546232
434,2625470356
435,7956053105
436,4054632763
437,3751823045
438,4697027284
439,3627488618
440,8078830718
441,3480683240
442,3966546862
443,4907186897
444,8029864134
445,3664838527
446,3815600922
447,3693988359
448,3343593689
449,3690549224
450,7857771337
451,7347288665
452,3367207988
453,7397020488
454,3727086002
455,7955045708
456,3423156479
457,7329832422
458,3811277781
459,8302882337
460,3971187876
461,4130243107
462,4170432333
463,3472947472
464,4902411334
465,3972626466
466,3648820857
467,2566535723
468,4249112303
469,2609693564
470,8029535984
471,7329832422
472,4006910971
473,3404327989
474,2672584616
475,7339192286
476,3207684567
477,4004946201
478,4934300012
479,8596212555
480,3674899852
481,8055062788
482,8402815484
483,4311223011
484,4680729754
485,8032046956
486,3536303748
487,4255323203
488,2754123923
489,7329832422
490,4049824500
491,8421036814
492,4566848206
493,3417255677
494,4398377996
495,6155854316
496,7470830952
497,6784267225
498,3734796869
499,4303126893
500,4882679075
501,7697309039
502,2569074409
503,4758729800
504,2890341432
505,4309785521
506,7099077068
507,7431710764
508,7304500437
509,2942696640
510,2730437448
511,8230530606
512,2966486209
513,2859066828
514,3774853699
515,7329832422
516,3669376614
517,4430103201
518,2712047157
519,4303126893
520,7191650137
521,4430103201
522,2638756381
523,8029535984
524,7329832422
525,4952086047
526,3353025974
527,4430103201
528,4005249988
529,7853065488
530,3390686069
531,3971187876
532,2581149722
533,8226280912
534,3693988359
535,2691577498
536,4572572744
537,4528955009
538,4528955009
539,2775820261
540,7857771337
541,4519798428
542,3770837489
543,7856708389
544,4390758674
545,3881504068
546,4172371933
547,4508257834
548,3422376495
549,4641718393
550,3915746934
551,2703422737
552,4327050241
553,2626467524
554,7271762378
555,8015290054
556,6502591994
557,3799785682
558,8179568172
559,7972749422
560,3473449370
561,3958931517
562,7919201492
563,3442817312
564,6941012804
565,3830609680
566,7473155946
567,3133489043
568,4947483701
569,3121199352
570,2580438790
571,4149107464
572,4110148527
573,8230627698
574,3423632047
575,4481528239
576,6152875450
577,7470830952
578,3258522015
579,4006910971
580,3741032417
581,3674246205
582,3568921312
583,3419201764
584,4423395797
585,8847405362
586,7923744747
587,7870015874
588,7186836205
589,8329261648
590,3692663326
591,3965509859
592,4490237041
593,3622642598
594,8249650787
595,3949729068
596,3622642598
597,6719980888
598,6188738477
599,2597437001
600,3742428034
601,3396580990
602,4005577730
603,7513721052
604,4410188865
605,2873212640
606,6330985406
607,2567362653
608,4952086047
609,4390313748
610,3096372185
611,4390313748
612,4390313748
613,3401285465
614,3487468557
615,8291760455
616,4924582240
617,3799284828
618,8291760455
619,2641826929
620,7039872762
621,2703977343
622,7107189478
623,3672035726
624,2572504502
625,2904725535
626,6455357029
627,2709076640
628,6003323421
629,3696779943
630,4716392950
631,2642086241
632,4207781109
633,4006910971
634,6003323421
635,4716392950
636,7449145358
637,6455357029
638,7595502418
639,7485178082
640,4011974564
641,6003323421
642,2656374536
643,8125925576
644,7877700064
645,6082424104
646,8108990504
647,4796888771
648,4011974564
649,6003323421
650,3507910621
651,7742868855
652,3977885309
653,4011974564
654,4009308211
655,6003323421
656,4716392950
657,2804867719
658,8125925576
659,4899058811
660,4716392950
661,3294531021
662,4716392950
663,4899058811
664,3265687245
665,4182479715
666,8557173027
667,2571803344
668,7001954475
669,6985343254
670,3738892688
671,4200634236
672,7184775285
673,3881504068
674,3966546862
675,2656374536
676,2671720576
677,2775898309
678,3928450204
679,2887864938
680,3947269872
681,3891872504
682,7309811297
683,4171937775
684,2844150936
685,4834565037
686,3995082303
687,3458407095
688,3568102516
689,7906931145
690,4823723906
691,6690663356
692,4348443007
693,3103767438
694,2659391521
695,4059764867
