,userid
0,7631239494
1,3999967162
2,4292619893
3,3716688778
4,6020507171
5,8275316572
6,7863494194
7,4025684496
8,3410400663
9,8208989606
10,7035643999
11,4554512298
12,3264594456
13,3264594456
14,7857688766
15,3145862592
16,8533869144
17,3394650362
18,3262475882
19,7644738686
20,4829021872
21,3331073901
22,3418245882
23,7201781907
24,3793393806
25,3701557459
26,3229053655
27,3289134206
28,3569458204
29,3557228097
30,3411994421
31,8322756937
32,7678789504
33,4325959407
34,3702854865
35,2658619608
36,4353043402
37,8892439212
38,2665714101
39,8596388417
40,4401375063
41,2783528479
42,3411394779
43,4265250293
44,3429232197
45,3429906116
46,3320148934
47,6859247632
48,3539898660
49,8546125575
50,2687289233
51,2687289233
52,4615264316
53,4967771325
54,3473495072
55,4374522765
56,3913504067
57,7029276554
58,4113651493
59,7861213674
60,3645630428
61,6720870802
62,3136935128
63,3445540966
64,4610919506
65,3445540966
66,8206826375
67,8159087959
68,2723001709
69,4230655652
70,6132312423
71,2663329442
72,8055667836
73,3706718270
74,3693988359
75,3138448117
76,4050093526
77,3138448117
78,3138448117
79,4050767291
80,8210569549
81,3884486114
82,8314052472
83,6801858207
84,7768416332
85,4499372036
86,4899846171
87,3526913124
88,7698001384
89,3916485857
90,8653037296
91,2692447304
92,2654888153
93,3196799924
94,3412535670
95,3688727743
96,3412535670
97,8181369502
98,3887248143
99,4590747282
100,6503838789
101,2723001709
102,3746417535
103,3916485857
104,4499372036
105,3654971357
106,3386737506
107,4030611252
108,4943744475
109,2787556813
110,7623465375
111,6236180539
112,3449900287
113,3557228097
114,8704281846
115,6217321199
116,7468840514
117,3581211847
118,4726026574
119,8937376362
120,3638626057
121,8588142185
122,8784651125
123,4349996421
124,4347810216
125,4246155456
126,3437402796
127,7707103588
128,3889695388
129,8108633404
130,2782509890
131,8290248997
132,2585702174
133,8799583169
134,4367566195
135,6384876402
136,3770509405
137,2930870757
138,8314052472
139,4134220966
140,4860586206
141,8314052472
142,2543284120
143,6719445358
144,2552307846
145,3463809222
146,3677381454
147,2573369523
148,4465486576
149,4382969637
150,4004946201
151,8375132709
152,8111225615
153,3836781273
154,4852750774
155,4367566195
156,7768416332
157,7768416332
158,3836781273
159,3816709997
160,4367566195
161,4399329519
162,8378625652
163,7389076912
164,4367566195
165,3413365331
166,3343247565
167,4329028060
168,3818655671
169,3818655671
170,4859723443
171,4367566195
172,4775982030
173,4303291006
174,4860586206
175,4367566195
176,4860586206
177,3390318954
178,2544389823
179,8145429084
180,4367566195
181,8145429084
182,2955410149
183,2955410149
184,6122517483
185,8127131675
186,4503428336
187,4130423352
188,8933802702
189,3264587510
190,6719445358
191,3961536187
192,4367566195
193,3776972213
194,3004401235
195,3004401235
196,7781207548
197,2835553533
198,4367566195
199,3566979318
200,7245803646
201,3573129061
202,4103392933
203,4158214724
204,3437402796
205,2919700986
206,8785472426
207,2930870757
208,4207781109
209,4219620764
210,7373467856
211,3437402796
212,8657703338
213,2585780235
214,8078830718
215,4158214724
216,2541404265
217,3919443443
218,7449145358
219,3972206511
220,7520266545
221,7323199205
222,8780399238
223,2715744336
224,3437402796
225,4367566195
226,4499703344
227,2606846783
228,3407592155
229,4485115960
230,3876560340
231,3626865079
232,3536303748
233,3459040635
234,4575492094
235,7373467856
236,6052411778
237,8268745668
238,3541078510
239,2576090361
240,2628313460
241,3455042354
242,3852305240
243,8308753699
244,3787773940
245,8705188094
246,3531933369
247,4367566195
248,4522040732
249,3659973918
