,userid
0,8346663274
1,2704808648
2,3459040635
3,7141270912
4,3840557755
5,2609067370
6,4854542728
7,7585630869
8,4858425999
9,4595374164
10,7010383988
11,6521251615
12,8163877008
13,4863059647
14,2736346078
15,4476544970
16,4473078633
17,8273943266
18,8076803778
19,2607422020
20,3462229652
21,4688875230
22,2609053006
23,8136975157
24,3859612524
25,8184233268
26,4358879525
27,6190811302
28,7730758702
29,2613367318
30,4372538444
31,3868781071
32,8355594162
33,4680077980
34,3867593793
35,7917230536
36,7018707646
37,3520011051
38,8057835432
39,4855800412
40,2602181477
41,6342856449
42,4391429399
43,3822642505
44,7580505005
45,6977063645
46,7733546619
47,4391429399
48,4353043402
49,2605775234
50,3021000338
51,4854542457
52,3864234174
53,4415689777
54,3867593793
55,3997811868
56,8943102488
57,6762859348
58,3260086189
59,8350530022
60,8157893076
61,7902782475
62,2993918780
63,4292619893
64,6705889328
65,8724204078
66,8157893076
67,8529231626
68,8157893076
69,2607063645
70,2607061993
71,8157893076
72,4855800412
73,8088457759
74,3473495072
75,2736346078
76,4549720629
77,4854542457
78,7742185574
79,4854542457
80,3857405952
81,4290153278
82,2605775234
83,4490921183
84,7731157017
85,3680464361
86,7018707646
87,4895114111
88,8032457664
89,7352028918
90,3688727743
91,8157893076
92,8157893076
93,4828167013
94,8157893076
95,4865956927
96,8157893076
97,4080450595
98,4112173822
99,8461980588
100,7974768656
101,4862411048
102,8867571192
103,6608755427
104,7001954475
105,7230364914
106,4129499894
107,2908473866
108,2724383638
109,2724383638
110,2808815610
111,8138032819
112,4405216850
113,4663176527
114,3379506637
115,4663176527
116,7950564367
117,8393793069
118,3630358389
119,3614675142
120,7738609055
121,7050221679
122,7901144448
123,3559161889
124,3057767855
125,3654733618
126,6092330268
127,8157893076
128,8157893076
129,8152004825
130,4633123714
131,4509787761
132,7313517018
133,4555327390
134,2919418116
135,2847679710
136,2568444627
137,4280033137
138,6128337211
139,4663176527
140,4107212770
141,4154022722
142,2684030918
143,3785208469
144,8150004988
145,4223013701
146,3300561390
147,8268715269
148,2568444627
149,2568444627
150,2692447304
151,4005356141
152,3859446222
153,4944377897
154,3726534631
155,7707103588
156,4165700592
157,4165700592
158,4813734841
159,7902782475
160,3005130667
161,7470830952
162,7886536167
163,2596021961
164,4768250339
165,3402577108
166,8295411139
167,3822642505
168,4347864575
169,8358467179
170,4333407068
171,4762377128
172,4768250339
173,4938222183
174,3538088148
175,3755199444
176,7470830952
177,3408797096
178,8152004825
179,3538088148
180,3495579176
181,3565879212
182,3573129061
183,2577393357
184,3770526386
185,4125632814
186,8037605005
187,6227531188
188,6387126062
189,8028937458
190,8113338737
191,8889567239
192,8642573097
193,6558387475
194,3426252036
195,8157893076
196,3678684390
197,8073336518
198,7282865774
199,3525351073
200,3669640160
201,2635524399
202,2658342625
203,3378547667
204,3579099299
205,2692447304
206,3961536187
207,4440787037
208,3827285192
209,6042698611
210,8657496555
211,4684842171
212,8157893076
213,2684030918
214,4985703708
215,4180707649
216,8781869886
217,7703012262
218,3404645874
219,8565721959
220,3826869364
221,3669640160
222,8069084522
223,4440195949
224,3836205822
225,8181228309
226,3796220276
227,4698805382
228,7282865774
229,3753448704
230,8168408107
231,3490512092
232,2673055080
233,3990416033
234,8639604884
235,4310595339
236,7282865774
237,8157893076
238,7557202246
239,6659202879
240,4474338097
241,6864405264
242,2610958169
243,2693500726
244,3008204718
245,7964777362
246,3008204718
247,8608780687
248,4134021977
249,2727248438
250,4478986192
251,7962794818
252,2890341432
253,3757019653
254,8150004988
255,3586896481
256,4457321145
257,4509827545
258,4699878180
259,2694057316
260,3080174315
261,3563376517
262,2947069797
263,3826869364
264,4110551683
265,7470830952
266,7902782475
267,6028206242
268,2915673629
269,7870411094
270,4685254559
271,2600447505
272,3792123872
273,3889695388
274,8253932969
275,4144493638
276,2656257731
277,6448072224
278,3635317001
279,7707848962
280,8102016298
281,8073434216
282,2971734860
283,4342062716
284,7281355365
285,4391429399
286,3721508604
287,2601773387
288,4490921183
289,7470830952
290,4503162412
291,2705819125
292,7564015975
293,8243240816
294,3831284761
295,6295932684
296,7226072892
297,7165708085
298,4536064635
299,8608780687
300,7266768892
301,4748547596
302,3728958041
303,8548022664
304,3406029108
305,3196874010
306,3558023584
307,4852665451
308,6061352654
309,3519852590
310,7160592706
311,8842596799
312,6306469245
313,3546919902
314,3386477294
315,3877295393
316,7542144197
317,7258995584
318,4789778432
319,4032947785
320,2808815610
321,3450114693
322,6764163995
323,4172371933
324,8225942728
325,4867941557
326,2969263120
327,7630675129
328,4869716833
329,3376304889
330,2985779840
331,7462558139
332,4309665707
333,8205776239
334,6241176942
335,4403983834
336,4845309158
337,4330226470
338,7483301846
339,8145429084
340,7351095306
341,6776316377
342,6042698611
343,3449207784
344,7443072928
345,6136474939
346,4172371933
347,4055364431
348,4757617252
349,2687433431
350,4060051429
351,4563327185
352,4367950873
353,6036589080
354,3518040599
355,7539457759
356,7987183985
357,2631532825
358,2932761487
359,4342918525
360,7422881725
361,8428379127
362,4819544964
363,3772028961
364,7816329826
365,4274155599
366,6520197224
367,3729134748
368,3766150007
369,7607137747
370,3665560608
371,4341864766
372,7485254628
373,4819544964
374,8659470764
375,3494856756
376,8335604255
377,6157119444
378,3998763985
379,3634226715
380,3685747133
381,4754934505
382,2940192651
383,6295932684
384,4645717656
385,4550914722
386,7707103588
387,8041377585
388,2669524540
389,2940192651
390,8183795947
391,4367856076
392,4819544964
393,4193429830
394,4099849489
395,7248516748
396,3676936648
397,3880872982
398,3485346064
399,6073342057
400,3455042354
401,3526409130
402,3976805638
403,3122167916
404,8120412232
405,4391429399
406,4511948892
407,8769713338
408,3467879853
409,3927294294
410,3350558092
411,3417083260
412,4229640821
413,4761979965
414,4060030905
415,3335564584
416,7023735369
417,3746716794
418,4474334322
419,4747826506
420,4713017364
421,7852669084
422,2836131887
423,3452916736
424,6859204627
425,6103722855
426,2779380023
427,7119059676
428,4349512154
429,3470094127
430,4391429399
431,7994778967
432,4744075423
433,4829021872
434,4462508607
435,4511223146
436,2971734860
437,6326706007
438,3686977175
439,2651595701
440,6042698611
441,4372533754
442,7373467856
443,4347728322
444,3548150284
445,4039452998
446,2900302348
447,6665982565
448,6295932684
449,3857194217
450,7061457354
451,4929336284
452,3411994421
453,3547293194
454,8090484264
455,3746716794
456,3842578929
457,8093876874
458,2801235512
459,2580256837
460,4688086386
461,8103349772
462,3658477189
463,4323011227
464,4369426185
465,3745671862
466,7358700229
467,8235300165
468,4691361007
469,3122167916
470,2979617130
471,7868485166
472,3335564584
473,8152751688
474,4827720957
475,2979617130
476,7927652106
477,4607501467
478,3483182529
479,3680464361
480,6332334765
481,7392764916
482,4178243387
483,3649391753
484,7839079662
485,8688384939
486,8572042818
487,6878344859
488,2714133912
489,7045815358
490,4052405666
491,7786918694
492,3481956343
493,4308871894
494,3522456596
495,7813711382
496,6036589080
497,8157893076
498,4691361007
499,8202132098
500,4004623014
501,4270525184
502,8736429268
503,7470830952
504,8352857097
505,4894256283
506,6799518537
507,4332650386
508,3601048048
509,3772028961
510,4674282497
511,4782940733
512,3772568007
513,4863004037
514,6908427539
