userid,text
4655631601,#满足三个条件可开学#所以 快要开学了吗 ?
8304709965,长在秦霄贤笑点上的男人，就是刘筱亭二哥啊#意大利封闭全国# L这一秒像极了爱情的微博视频 ?
3842245582,长在秦霄贤笑点上的男人，就是刘筱亭二哥啊#意大利封闭全国# L搞笑佑的微博视频 ?
8258198975,【伦敦地铁推出“加强版”清洁计划】据报道，伦敦交通局宣布推出“加强版清洁计划”，通过对伦敦的地铁和公共汽车网络使用抗菌和抗病毒的清洁物质，达到改善“伦敦公交水平已经很高的卫生水平”的目的。 #英国疫情##欧洲新冠肺炎病例进展##全球防疫的迷幻操作##英国新冠肺炎病例进展##全球疫情# #海外抗疫日记# ?#意大利疫情##意大利封闭全国# ????#法国疫情# 收起全文d
3830899735,采访鬼才合集来了，让你从头笑到尾巴！#意大利封闭全国# L搞笑土的微博视频 ?
3840557755,采访鬼才合集来了，让你从头笑到尾巴！#意大利封闭全国# L搞笑域的微博视频 ?
3610580145,意大利的医院   ????#意大利式疫情小喇叭开播##意大利封闭全国#  L爱国文青的微博视频 ?
8206366866,亚洲动保之声是一个最恶心的黑标狗肉企业的人畜，大家都知道//@中国小动物保护志愿者:需要狗的时候，它们是搜救犬、导盲犬、检疫犬、医疗犬，不需要的时候，它们就是有病毒变食物，人啊.......畜牲不如#伪动保亚洲动保之声#   #意大利封闭全国# #华南海鲜市场连夜清理冻品# #王源#
4321724969,张文宏称中国人无需为美国人干着急，他们的医疗体系可以应对，3月5日，张文宏在线直播表示，中国人无需为美国干着急，“怎么还不封城戴口罩”？2019年至2020年流感季，美国感染2800万，死亡1.6万人，所以目前新冠对美国的医疗体系來说，可以从容应对。#疫情没有造成大量的因病因疫返贫##意大利封闭全国#    L搞笑沙雕的微博视频 收起全文d
6455578039,高冷的诸葛大力，还能笑成这样，笑声太魔性了#意大利封闭全国# L搞笑胡珊的微博视频 ?
8275743448,意大利女子确诊染新冠肺炎死亡  一家七口伴尸24小时，家人拍片求救：我们被抛弃了！意大利一名健身教练9日自拍影片求救，指妹妹疑因染病去世，遗体在家中安放无人处理，一家七口伴尸长达24小时，自己更曾为妹妹进行人工呼吸。他又说，当局一直未有通知他们检测结果，感觉自己被抛弃了。最后证实是阳性反应。据知，死者生前患有癫痫并接受治疗，没有其他疾病。本月7日晚上，死者感到身体不适，且出现新冠肺炎的典型症状，救护人员到场证实死亡，家属曾要求检测是否罹患新冠肺炎，但对方说没有相关工具，且不允许搬运遗体。Luca在片中表示，在急救期间，自己曾为胞姊进行人工呼吸，担心会因此受感染。而家中除了有死者和Luca外，还有年迈父母。#意大利疫情##意大利封闭全国# L人生大戏待乐起的微博视频 收起全文d
