userid,text
4260552980,#耿爽告诉美方所有选项都在中方桌面上#美方，我们不惹事但也不怕事 ?
6050909623,【#外交部回应是否担心美方进一步反制#：#耿爽告诉美方所有选项都在中方桌面上#】今天，记者就中方是否担心美方采取进一步反制措施提问，对此，外交部发言人耿爽表示，我们的立场很明确，我们敦促美国立即改弦更张、纠正错误，停止对中国媒体的政治打压和无理的限制。如果美方一意孤行，错上加错，中方必将被迫采取进一步的反制措施。耿爽强调，美方曾经说过，所有的选项都在桌面上。今天我也可以告诉美方，所有的选项也都在中方的桌面上。（总台央视记者吴汶倩）L央视新闻的微博视频 收起全文d
6043393485,【#耿爽告诉美方所有选项都在中方桌面上#】3月18日，外交部发言人耿爽表示，中方此措施完全是对美国无理打压中国媒体驻美机构的必要反制。敦促美国立即改弦更张、纠正错误。美方曾经说过，所有的选项都在桌面上，今天我也可以告诉美方，#所有的选项都在中方桌面上#。L人民视频的微博视频 ? L人民视频的微博视频 收起全文d
8376244466,#耿爽告诉美方所有选项都在中方桌面上#“所有选项也都在中方的桌面上”，这是“以其人之道还治其人之身”。在很多国家、很多问题上，美国都说过“所有选项都摆在美国的桌面上”这句话。比如，美国对伊朗实施极限施压，伊朗软硬不吃，美国政客尤其是美国前国家安全顾问博尔顿时常叫嚣，所有选项都摆在美国的桌面上；去年，美国怂恿委内瑞拉反对派领导人瓜伊多自封“临时总统”，与合法总统马杜罗作对，妄图借瓜伊多这个代理人，推翻反美的马杜罗政权，但马杜罗坚决不从，美国政客也多次威胁，所有选项都摆在美国的桌面上。既然美国政客很喜欢这句话，耿爽也就将计就计，将同样意思的话“所有选项也都在中方的桌面上”送给美国。 2东莞 收起全文d
4280922501,#耿爽告诉美方所有选项都在中方桌面上# 我怎么感觉爽哥有点无奈，又有点可爱呢 ?
4689841991,#耿爽告诉美方所有选项都在中方桌面上#我们不惹事也不怕事我们有大国担当，也有大国风范 ? ?#天津着火#一定要平安????消防员也保护好自己 ? ???
8168025712,#耿爽告诉美方所有选项都在中方桌面上# #英国首相父亲不顾防疫禁令去酒吧# 歪果仁永JU TL还有9天就是决战时刻了。
4462831237,#耿爽告诉美方所有选项都在中方桌面上#耿直的耿，不爽的爽????爽哥 ?
4348329689,【#外交部回应是否担心美方进一步反制#：#耿爽告诉美方所有选项都在中方桌面上#】今天，记者就中方是否担心美方采取进一步反制措施提问，对此，外交部发言人耿爽表示，我们的立场很明确，我们敦促美国立即改弦更张、纠正错误，停止对中国媒体的政治打压和无理的限制。如果美方一意孤行，错上加错，中方必将被迫采取进一步的反制措施。耿爽强调，美方曾经说过，所有的选项都在桌面上。今天我也可以告诉美方，所有的选项也都在中方的桌面上。（总台央视记者吴汶倩）L央视新闻的微博视频 收起全文d
3003466176,#耿爽告诉美方所有选项都在中方桌面上#霸气！ ?
8559717052,#耿爽告诉美方所有选项都在中方桌面上#台湾如此做法太让人气愤了 L乖别闹吃口药的微博视频 ?
8330997227,一切帝国主义都是纸老虎，一个塔利班都搞得灰头土脸，也只能跟我们耍耍嘴皮子了。#耿爽告诉美方所有选项都在中方桌面上# ?
2606481776,#耿爽告诉美方所有选项都在中方桌面上#每次看到耿·不·爽的霸气回应 我都觉得爽哥还是你爽哥！ ?
6506318597,#耿爽告诉美方所有选项都在中方桌面上#   肯定不止我一个人觉得他很帅！ ?
3750262120,#耿爽告诉美方所有选项都在中方桌面上#我们不惹事也不怕事我们有大国担当，也有大国风范 ? ?#天津着火#一定要平安????消防员也保护好自己 ? ???
4306577947,#耿爽告诉美方所有选项都在中方桌面上#好刚，霸气，就是得硬气 ?
4762946883,怒赞！耿爽霸气回应：哪家美媒有意见可向美政府提出。中方不惹事，但也不怕事！#耿爽告诉美方所有选项都在中方桌面上# （人民日报） ??? #钟南山称中国防控方法可在其他国家应用# ? L青春-眉山的微博视频 ?
2664041709,#耿爽告诉美方所有选项都在中方桌面上#
8115412059,听说五年前说美国空气香甜的杨舒平因为疫情原因打算回国了，看她17年跟大家对骂的架势，丝毫不觉得自己错了，依旧跪舔的让人恶心，应该已经被美爹彻底收为咬人的狗了。还敢回来？夜路走多了会撞到鬼啊姑娘。#耿爽告诉美方所有选项都在中方桌面上# ?
8342590149,#耿爽告诉美方所有选项都在中方桌面上#硬气！！美国能不能有点大国担当，从总统到有些媒体，行为简直可笑 ?
