,userid
0,8865042259
1,6463744002
2,4891708437
3,8443650608
4,4068506560
5,7224605784
6,8436957898
7,7523551528
8,7373467856
9,2699759249
10,7395469292
11,8744404312
12,3246156452
13,8036136992
14,4893843171
15,4329920209
16,4261986605
17,8174672324
18,2546067133
19,4686867268
20,4892332747
21,8215102047
22,8112655658
23,4127171121
24,7476796937
25,4079953738
26,8021104939
27,3914066893
28,4854544112
29,4383081305
30,6902170366
31,3548496652
32,8586217595
33,4845540889
34,7995354388
35,8109741348
36,6761031795
37,2599202341
38,8586217595
39,3599154245
40,6826171242
41,8152876432
42,7803401684
43,8834024986
44,8036136992
45,8557173027
46,4049824500
47,8357414112
48,7016794339
49,7684036888
50,7603315712
51,7624425485
52,7077033717
53,7288331786
54,7417211422
55,8108288938
56,3875675062
57,4236256122
58,8056825066
59,7893136045
60,7761090546
61,3676758710
62,4426911258
63,7800957606
64,4332949412
65,6715857888
66,4005996682
67,2684969087
68,2714721925
69,4020468956
70,7077033717
71,3649372037
72,8360536167
73,8186384046
74,7424898582
75,6249331032
76,2583916753
77,7077033717
78,3106741910
79,6477884562
80,7077033717
81,8234626859
82,3396680685
83,7567506599
84,7373527172
85,8156397679
86,6649972709
87,4383081305
88,7710294644
89,4418400011
90,3721097024
91,4106339074
92,7476719727
93,3917107559
94,2717525786
95,3859802124
96,8704652536
97,8078548002
98,4383081305
99,6990897414
100,2629820163
101,8361217052
102,3385985935
103,3859802124
104,7566073746
105,2991147589
106,4239908468
107,3859802124
108,2714506265
109,8402358282
110,3859802124
111,3859802124
112,6801528596
113,2624219373
114,7730303974
115,4809465176
116,8152790259
117,8208989606
118,8688013489
119,3416903601
120,8627367866
121,4772928599
122,7872484194
123,3795874501
124,2659642378
125,8344944937
126,4809465176
127,2714506265
128,4618639561
129,3648626111
130,4652204022
131,7905920346
132,2576439220
133,7077033717
134,4809465176
135,6488988292
136,6982813854
137,4466453502
138,2628392615
139,3616149514
140,6113713660
141,4809465176
142,8046847609
143,6074200456
144,3673277520
145,3161494158
146,7077033717
147,7986063357
148,4942272144
149,7791352209
150,3174252482
151,4489295609
152,3616149514
153,7542804435
154,3601880033
155,8121276592
156,6757582944
157,8158982298
158,3569458204
159,3552662891
160,8012542194
161,4160219552
162,4284643390
163,6159231296
164,3472947472
165,8237847638
166,6785755826
167,7148382462
168,8194367697
169,8299912467
170,2586141862
171,7736800844
172,8386329665
173,3797196250
174,4426304714
175,2999325023
176,7437670347
177,3284417448
178,7489284184
179,3106616444
180,3186571985
181,2716635452
182,8040297916
183,4881126301
184,3993158155
185,4272057767
186,7440727327
187,8263913227
188,8074113405
189,6756242599
190,7574629897
191,4022542402
192,7543068544
193,7520173636
194,8237847638
195,6772348395
196,4000748869
197,7239019594
198,4383081305
199,7747897677
200,7986517912
201,6038332511
202,2978029456
203,3613763620
204,4093070089
205,8078465509
206,2631009360
207,8415253085
208,3516223127
209,8121276592
210,6232454684
211,3926984812
212,4000748869
213,6231297456
214,4102305352
215,7138843489
216,4383081305
217,6787090182
218,3638480643
219,3554173513
220,2794156896
221,8231990824
222,3344203168
223,4689771159
224,6061572187
225,7757719986
226,7757719986
227,3887180010
228,6955814392
229,4664091062
230,8121276592
231,7792882867
232,4063057685
233,6712582088
234,6458108497
235,3916810923
236,6059174514
237,3531632919
238,4063057685
239,3921364632
240,4116894931
241,4426911258
242,3543915312
243,3912236199
244,3648021630
245,8803873364
246,3430396755
247,4383081305
248,3544252030
249,4063660180
250,4722126701
251,7841131055
252,3428205514
253,6056817798
254,6061386390
255,8121276592
256,3531891854
257,7937824562
258,4383081305
259,3428205514
260,3544212433
261,4125632814
262,3648021630
263,3544212847
264,6059175069
265,4125632814
266,4042422494
267,3531952411
268,2733446872
269,7374149756
270,4383081305
271,4063060791
272,4090665926
273,2859399608
274,3534100703
275,3532810404
276,3525113208
277,3531958950
278,4091838298
279,3918293229
280,3544256519
281,6351569697
282,7476796937
283,3791563040
284,8092322852
285,2546972767
286,3916800135
287,3408769465
288,6391225787
289,3543916534
290,7974335042
291,3522873228
292,2671658933
293,8157893076
294,6246247944
295,3822642505
296,8242321118
297,4447528450
298,3532817029
299,3533116037
300,2546082603
301,2556335706
302,8164924302
303,3633667116
304,3468222110
305,3633682202
306,7828995119
307,4661523306
308,7296104566
309,3568602335
310,8804847899
311,8334764345
312,7691605834
313,3532689907
314,3420032299
315,4918842514
316,4061698837
317,3429223595
318,4052297967
319,3759415890
320,2643713889
321,3532992552
322,4661292643
323,4052300826
324,7166469582
325,3543962226
326,6785209175
327,4000748869
328,3532690912
329,3533120467
330,3532993143
331,7737825247
332,4063296665
333,8085481459
334,3443705274
335,3533120485
336,3648021630
337,7942355499
338,2551297960
339,3468222110
340,7242695878
341,8778426098
342,3533123532
343,8357414112
344,3568709680
345,2567321141
346,4097836517
347,3590010111
348,8282793479
349,6056911712
350,3993681065
351,3379178835
352,3590009948
353,7077033717
354,4542530281
355,3993681065
356,3531642159
357,4676099895
358,3532823951
359,3993366234
360,3138664279
361,3528729243
362,8688013489
363,4276159798
364,7263834879
365,3543964626
366,7296580012
367,8229415922
368,4111104111
369,3544216242
370,4806756765
371,2596734823
372,4670306959
373,4954861674
374,4664116275
375,3594023352
376,2927815670
377,6057972290
378,3543918431
379,2927815670
380,4505669613
381,3662774650
382,6055546672
383,3993698991
384,2927815670
385,3662224593
386,3533138480
387,3916846459
388,4117554379
389,8157893076
390,4343401733
391,4119221581
392,4000748869
393,4451794144
394,3577488791
395,8953656367
396,4661253459
397,3517498256
398,4063287513
399,3662774650
400,4138087304
401,4527016795
402,2795754972
403,3344843243
404,3533138878
405,8228713168
406,6942459962
407,2561112364
408,3544267010
409,6057971709
410,4111096696
411,3532837151
412,3922008079
413,7629824535
414,4119874282
415,3544266827
416,6092296507
417,7861543398
418,6058572130
419,6791204317
420,6061388132
421,3994300993
422,3771310142
423,4088922479
424,7195140732
425,4112584925
426,3401160026
427,8554649414
428,3406209140
429,3622642598
430,8106198512
431,2690011165
432,3506733576
433,8647730235
434,4112716962
435,4019756504
436,4052917745
437,4052718209
438,4024533174
439,4000748869
440,3704934195
441,8237486122
442,3544267943
443,4090798893
444,4376387212
445,2692447304
446,8627367866
447,6858766356
448,6061388096
449,2716685562
450,4297083937
451,3559743062
452,8807858628
453,3874424912
454,3663810368
455,2562551637
456,8152004825
457,7671937944
458,7678476118
459,2625948769
460,3392637014
461,8344102119
462,6061386333
463,7572079214
464,6812323508
465,3538840190
466,3805259320
467,3067033572
468,3388948056
469,7964776484
470,3719639312
471,2612989762
472,7212514658
473,8379368127
474,2555302402
475,4668112766
476,2718271250
477,8146344844
478,8842586259
479,4801511211
480,3088365758
481,7963532819
482,2580104311
483,2555302402
484,7618520916
485,8157893076
486,3566067022
487,3527703157
488,8346644546
489,3697851882
490,8104140869
491,4125301878
492,4121402132
493,4116887759
494,4274056768
495,4261986605
496,7085905564
497,3429377305
498,3403875189
499,3368377413
500,2589644941
501,3431672203
502,4009248662
503,6764721294
