,userid
0,8223987317
1,3969278247
2,8234545166
3,4288401608
4,2995616075
5,7986071092
6,4875787800
7,3376280506
8,4230776876
9,7986071092
10,3128541991
11,4598439831
12,7504469364
13,4811427041
14,4695438062
15,3017323543
16,8598989717
17,4686867268
18,6941253842
19,7986071092
20,3000998790
21,4884126305
22,3788923614
23,2650106703
24,4230776876
25,3077961186
26,4940365707
27,7169656154
28,3374955724
29,3297028782
30,3084035882
31,4809066540
32,6742464625
33,7962794818
34,8698712579
35,4288401608
36,7653445754
37,4811427041
38,6061387920
39,8698712579
40,3732396738
41,6259174617
42,7653445754
43,3577527194
44,3533393839
45,6340807614
46,3130119927
47,8698712579
48,4694548118
49,4288401608
50,4247904686
51,7653445754
52,4486961079
53,4057697057
54,7364234647
55,8698712579
56,4811427041
57,6213132434
58,3076826056
59,3601715838
60,3411335326
61,3392192486
62,8146557315
63,4519906529
64,2651595701
65,3199497363
66,6405544196
67,3949979571
68,7582383458
69,3077961794
70,8544767356
71,4288401608
72,8544767356
73,3002324564
74,3017279001
75,6787190566
76,6805500989
77,4175042771
78,4408588579
79,8218119998
80,2935946585
81,2718354991
82,3829243020
83,6042698611
84,7653445754
85,4212143878
86,4762384510
87,8025438918
88,2935946585
89,3123168925
90,3220212125
91,3077961794
92,4686579929
93,7407765646
94,2623085583
95,6787190566
96,3383575439
97,8482880095
98,4230776876
99,3033166631
100,3022630716
101,4694686735
102,3568506113
103,4381284982
104,2935946585
105,4136463062
106,3389344583
107,3077965205
108,7653445754
109,2935946585
110,4678195341
111,2998398957
112,3956304013
113,2935946585
114,3005433446
115,7307993239
116,6152285087
117,3384022910
118,4170190953
119,2935946585
120,2935946585
121,4519802527
122,3956304013
123,2630867504
124,2935946585
125,3016648499
126,4764241009
127,8341048725
128,4717854601
129,3407335423
130,3585193028
131,3624534150
132,3544039392
133,2631239030
134,6787190566
135,2996094077
136,6681295965
137,3555251863
138,3225258514
139,2986458319
140,6312643125
141,6152285087
142,4288401608
143,6184922181
144,3033990075
145,7575870648
146,3869058369
147,7986071092
148,3426259651
149,3033990075
150,3077961114
151,4310352792
152,3033990075
153,3527190762
154,3529399223
155,3525430050
156,8698712579
157,2699946912
158,4884535225
159,3533869724
160,3444733300
161,2999838946
162,8124144344
163,3531789652
164,2984677848
165,4212143878
166,4352943512
167,2582527714
168,3586946476
169,4568097527
170,8698712579
171,4875787800
172,3544077008
173,4598439831
174,4811427041
175,4714474816
176,2790518709
177,4867253950
178,3011951425
179,3123168925
180,4875787800
181,4429097006
182,7203502738
183,6152428544
184,8702045324
185,8137662507
186,2993918780
187,4875787800
188,8698712579
189,3531789673
190,3059780934
191,3408420738
192,8682879616
193,8311750377
194,3876752679
195,3335564584
196,3444595351
197,8698712579
198,4230776876
199,4884535225
200,4517415239
201,4508257834
202,3348161109
203,6161765899
204,4545327335
205,7320931745
206,4328678908
207,2995236119
208,3335564584
209,3534161580
210,3412970359
211,3637085483
212,4348800200
213,8124144344
214,7521872509
215,3000504190
216,4287203771
217,4312410294
218,3348095051
219,2917132895
220,3465758289
221,8323893524
222,3451869624
223,3439018380
224,3483698116
225,3027096088
226,4493672237
227,3451869624
228,3940507188
229,4212143878
230,2790518709
231,6056121800
232,3392192486
233,6017323745
234,4003074032
235,6713178226
236,6365918795
237,4157890472
238,2638777410
239,3791261579
240,3258918564
241,4435110562
242,2790518709
243,8785800704
244,3543806609
245,7508571952
246,4002886208
247,7721159109
248,8236318435
249,3947355457
250,4183215267
251,3340220078
252,3340220078
253,3033173780
254,7927652106
255,3533733663
256,8911166804
257,3183185577
258,3533733663
259,2605122050
260,3002930528
261,2996897353
262,4309665707
263,3977917507
264,4668834820
265,4465522033
266,3531789823
267,6282747784
268,2999978959
269,3340220078
270,3340220078
271,4420095405
272,3637085483
