,userid
0,4136434337
1,6211886587
2,7267481926
3,7048195338
4,2713154956
5,6037314023
6,3086462130
7,8157893076
8,3375766105
9,3964297543
10,3336746972
11,3413660383
12,4619498174
13,4619498174
14,3994594955
15,3094455744
16,3094455744
17,3094455744
18,3933806452
19,2568480071
20,8157893076
21,8157893076
22,8924511858
23,8157893076
24,2611124950
25,8353892332
26,7988119669
27,8137493699
28,4466445834
29,3401759013
30,8572005245
31,2789574953
32,4143213297
33,8157893076
34,8157893076
35,8080025178
36,4450271236
37,2601510115
38,7811271578
39,7519181808
40,2696505373
41,3762932536
42,4125613360
43,8157893076
44,2670477894
45,3643503457
46,4466772139
47,4182843798
48,6992535606
49,7126686938
50,8704652536
51,4631812067
52,7496428999
53,4933451900
54,4755685458
55,3693370507
56,3102944230
57,7119518409
58,4829021872
59,7318240116
60,8157893076
61,3855293684
62,3293538642
63,3997811868
64,8157893076
65,8119217174
66,8109749537
67,7675121664
68,4002977249
69,8108496555
70,8157893076
71,3543201052
72,2716239449
73,6802247198
74,6034102777
75,8157893076
76,2567914083
77,3869130557
78,4085993324
79,8104140869
80,2868918539
81,6017666165
82,3837991738
83,7955553684
84,6242832912
85,8063844989
86,6383995046
87,3382020889
88,2730580408
89,7128132579
90,6442532687
91,8157893076
92,4503428336
93,3832297714
94,7077033717
95,4144002857
96,8768999652
97,2691474567
98,3037734856
99,6442532687
100,7620229608
101,7119519167
102,7077033717
103,4087533534
104,3473320163
105,8157893076
106,2714835797
107,6826366182
108,8231805457
109,6060912128
110,4466772139
111,6992535606
112,4182843798
113,4631812067
114,7126686938
115,8704652536
116,8120597115
117,6018118689
118,2638756381
119,8349888758
120,7077033717
121,7886598225
122,7467299694
123,2568449449
124,4182843798
125,8704652536
126,4466772139
127,6992535606
128,7126686938
129,4631812067
130,8032046956
131,3667252247
132,2692934239
133,7215638229
134,2593341748
135,3921930141
136,3987108264
137,4759814674
138,8157893076
139,8302882337
140,2568841450
141,3467946767
142,3395214926
143,7949992882
144,7458344915
145,4855534151
146,3489648096
147,3395214926
148,3995082303
149,3905849199
150,4786565527
151,3945549625
152,4154022722
153,3775682396
154,3997830337
155,3997830337
156,3097846440
157,6403223792
158,2930870757
159,2651434012
160,8013045954
161,8385142557
162,3383064728
163,6106041871
164,2589737512
165,8031926454
166,3480301571
167,4220019395
168,6081443962
169,4382336826
170,6575945697
171,3413660383
172,4501784772
173,4330995226
174,8157893076
175,8363321316
176,3676936648
177,3756982755
178,3415872747
179,4206728782
180,3553413052
181,7263940677
182,4206728782
183,3617123679
184,4220019395
185,3330930339
186,7227926595
187,2662730242
188,8797694542
189,4969079499
190,7978704514
191,8568954226
192,6852918296
193,8003925772
194,2709274234
195,3344606235
196,2791146454
197,8293024105
198,7343500316
199,3551404999
200,2828025075
201,3908975457
202,3009614401
203,7782810509
204,3538672450
205,4390313748
206,3009614401
207,7923744747
208,7470830952
209,3518739304
210,6503295339
211,4390313748
212,2593745551
213,4003966531
214,4025500447
215,4390313748
216,2568049383
217,3632394718
218,4875226053
219,4497449095
220,4468303674
221,4003966531
222,3670538770
223,8126966316
224,3982333560
225,4657124100
226,4759814674
227,8951282199
228,7520352652
229,3841481949
230,7209708135
231,3905849199
232,8314072746
233,8738564104
234,3919710900
235,4110385512
236,7077033717
237,3399565246
238,4238625171
239,3424739108
240,3399565246
241,2811379641
242,7191650137
243,4160535935
244,4151842995
245,3536303748
246,7697309039
247,3458407095
248,6971201044
