,userid
0,2607803572
1,2670558989
2,3851796657
3,6959571939
4,3687193236
5,3835081468
6,6832127216
7,3234689138
8,3559718814
9,3397183873
10,3667046298
11,8834389249
12,6327092459
13,7951009806
14,2607807192
15,3688583064
16,3688583064
17,3498890057
18,4854542728
19,6769693844
20,3988608837
21,3317271632
22,8108628637
23,7981620235
24,7678205522
25,3695339142
26,6877339576
27,8688258096
28,8599112894
29,3828497088
30,3565842826
31,2675323077
32,2661845271
33,3830901967
34,2608137617
35,4858425999
36,3835112473
37,6482481288
38,3347844731
39,4154022722
40,3257100676
41,3851796657
42,3871386048
43,6115694923
44,6199088200
45,3840557755
46,4753715664
47,3389837232
48,2675323077
49,6455578039
50,2670191129
51,2685988885
52,3853282674
53,3996365363
54,4028477589
55,3849859315
56,4252846667
57,3577210976
58,3786040307
59,6959571939
60,4529647030
61,7763540802
62,3531997133
63,7062350798
64,3569476503
65,3377098690
66,7948128306
67,6769693844
68,2908463362
69,2613385894
70,4084784838
71,2609067370
72,3917127931
73,2613379856
74,2613055105
75,3599154245
76,2609067370
77,2682771524
78,4111359002
79,7498253509
80,8398518812
81,3711858199
82,6779425675
83,8921551549
84,8395216895
85,3836492661
86,2607775651
87,7830169436
88,2625308651
89,4880382053
90,3842245582
91,3873079409
92,4073340392
93,2943178496
94,2687816221
95,3842442927
96,3568224758
97,6959571939
98,6774150807
99,8952365247
100,4855790585
101,2670558989
102,3829667159
103,7381354428
104,3884862069
105,8225043566
106,4739225318
107,2912092178
108,3574426113
109,6190811302
110,3861924204
111,3835081468
112,3859612524
113,3840524210
114,2675323077
115,3526502206
116,8304709965
117,3873079409
118,3462163711
119,7550913836
120,4171954032
121,6344168352
122,3851796657
123,4680077980
124,7920248587
125,2629228326
126,7027498729
127,3859507305
128,2670283995
129,4467021721
130,8140632675
131,3458407095
132,4179931394
133,8091853374
134,2612439680
135,6158649477
136,3291771226
137,3349999969
138,3840524210
139,3842245582
140,3884862069
141,3842442927
142,4858425999
143,8184233268
144,8001742755
145,4846872678
146,7506085378
147,4477538515
148,2612761164
149,7027498729
150,2735159005
151,3066084186
152,8136067265
153,7344398406
154,4916161561
155,2735998598
156,4772179266
157,4855821362
158,8401966854
159,3840557755
160,6199088200
161,8258117332
162,7350167119
163,7456838438
164,2607784841
165,8300788869
166,8221190854
167,8057835432
168,7349095008
169,2912092178
170,6769693844
171,3569476503
172,2607775651
173,3851796657
