text
#山东援鄂医疗队员张静静去世#最终我们也未能从死神手中抢回来，也没办法让她的丈夫回来见到她最后一面，难受......愿我们活的人都彼此珍重 ?
#山东援鄂医疗队员张静静去世#这个时代欠她们一声感谢，走好，可爱的人 ?
#山东援鄂医疗队员张静静去世# ???原来以前的消息是真的??????
#山东援鄂医疗队员张静静去世# 昨天看到突然心脏骤停的消息，昨晚还跟家人说这个事，今天突然就听到去世的结果，在群里跟家人讨论，我说怎么好人没好报，孩子那么小，妈妈说：不要太负能量，生活还是很美好，要开开心心，珍惜自己的生命。老公说:她应该是救的人太多了，曾经有个电影讲的就是一个医者， ?  展开全文c
天啊，多希望这不是真的，昨天到今天一直都在等着你的好消息呢
#山东援鄂医疗队员张静静去世#英雄一路走好 ?
#山东援鄂医疗队员张静静去世#祈祷奇迹发生，可人还是没了，没法想象家人有多么痛苦，唉，一路走好。 ?
#山东援鄂医疗队员张静静去世#一路走好愿家人平安健康 2济宁 ?
#山东援鄂医疗队员张静静去世#英雄走好  一直说没有医护人员感染  大方承认不行吗  这都几个了？！畏畏缩缩 本该记在历史上的人 他们必须要有这种待遇 ?
医生护士如此救死扶伤，为何还是得不到尊重拿不到应该的收入，娱乐圈的明星天价报酬
#山东援鄂医疗队员张静静去世#她一定 会变成星星吧 ?
【#山东援鄂医疗队员张静静去世# 隔离期满正要回家时发病 丈夫援助非洲未能赶回】6日，心脏骤停援鄂医护张静静去世。据悉，张静静于3月21日随山东第一批医疗队员离鄂返回济南，按规定集中隔离医学观察14天，5日早上突发心脏骤停。目前，张静静的丈夫韩先生正在援助非洲未能赶回。 ?  展开全文c
一直祈祷能听到好消息，太可惜了，这么年轻，真正的勇士，安息?????? 这一次疫情各省倾囊相助，保佑所有白衣天使可以平安到家
#山东援鄂医疗队员张静静去世#离胜利就差那么一小步，只希望真的有天堂，在那里没有痛苦没有疾病 ?
#山东援鄂医疗队员张静静去世#怎么会这样，本该回家的日子啊英雄一路走好谢谢你 ?
【突发疾病的#山东援鄂医疗队员张静静去世#，丈夫援非未能赶回】突发疾病的山东援鄂医疗队员张静静经过抢救后，最终没能迎来转机。4月6日晚上，澎湃新闻从接近张静静的人士处获悉，4月6日晚上，山东省第一批援鄂医疗队员、齐鲁医院呼吸与危重症医学科主管护师张静静因抢救无效，宣布临床死亡。同时，记 ?  展开全文c
#山东援鄂医疗队员张静静去世#抗疫英雄一路走好 ?
逝者安息！最美好的年华，奉献给了国家，一路走好！
#山东援鄂医疗队员张静静去世#无比心痛，为什么呢 ?
#山东援鄂医疗队员张静静去世#幸得有你，山河无恙谢谢你曾经为我们拼过命英雄一路走好愿天堂再也没有疫情 一切安好 ?
【突发疾病的#山东援鄂医疗队员张静静去世#，丈夫援非未能赶回】突发疾病的山东援鄂医疗队员张静静经过抢救后，最终没能迎来转机。4月6日晚上，澎湃新闻从接近张静静的人士处获悉，4月6日晚上，山东省第一批援鄂医疗队员、齐鲁医院呼吸与危重症医学科主管护师张静静因抢救无效，宣布临床死亡。同 ?  展开全文c
【突发疾病的#山东援鄂医疗队员张静静去世#，丈夫援非未能赶回】突发疾病的山东援鄂医疗队员张静静经过抢救后，最终没能迎来转机。4月6日晚上，澎湃新闻从接近张静静的人士处获悉，4月6日晚上，山东省第一批援鄂医疗队员、齐鲁医院呼吸与危重症医学科主管护师张静静因抢救无效，宣布临床死亡。同时，记 ?  展开全文c
#山东援鄂医疗队员张静静去世#搜了一天的新闻，怎么会是个坏消息！怎么能这么残忍，她还这么年轻！ ?
#山东援鄂医疗队员张静静去世#悲伤，为什么好人没有好报？老天爷开开眼吧。 ?
