userid,text
2604640656,#脑瘫外卖小哥被封号谢绝网友捐款#  真的感谢他的爸妈不仅没有放弃他  还教育他做一个自食其力的人 看这个视频好心疼  太辛苦太不容易了  小哥哥我觉得你挺帅的！
3788207327,健康的人又体面的人们啊没什么好抱怨的万物皆甜#脑瘫外卖小哥被封号谢绝网友捐款# ?
2604313249,今日一条热搜让大家止不住感叹，一名#脑瘫外卖小哥哥被封号谢绝网友捐款#。看了视频，让人止不住泪目，每个努力生活的人都值得被尊敬！愿生活不负努力的人！#脑瘫外卖小哥被封号谢绝网友捐款# ?
3229029945,#脑瘫外卖小哥被封号谢绝网友捐款#一切为了美好生活而奋斗的人们，都值得尊重。 ?
3265033733,#脑瘫外卖小哥被封号谢绝网友捐款#加油!你最棒!我的运气分你一半 ?
3160562629,#每日一善##阳光信用# 而小孩子又很敏感，所经以会常偏有的心存现象在，这给孩子的长成也来带不少了问题。中央戏学剧院因从为长得小就机灵，关晓彤在岁的4就时候被爸带出爸拍去戏了，而于由艺是术家的世原因，关晓的彤爷爷的脉人也常非的广，所从以小到大晓彤关娱乐在圈面里资的一源直非是常棒。虽年然龄很小，但晓关彤拍的戏间时实可着不短，为捧红了晓关彤，她父的母也倾是了注非常多心的血，在早期的时晓候关彤的爸经爸常带着晓关去彤经参加里的圈各种聚会。而关晓彤没也有让他失望，虽然说演技方面还时不的时被人诟病，但体总说来关晓还彤是分十刻苦的。汉族虽然颜值妹妹和有很大 #校花##脑瘫外卖小哥被封号谢绝网友捐款# 收起全文d
8868775439,#duang##脑瘫外卖小哥被封号谢绝网友捐款#心疼脑瘫外卖小哥，生活真是不容易啊！拒绝好心网友捐助，要凭自己努力赚钱。愿老天不辜负，努力奋斗的人……L葬爱家族的微博视频 ?
8091055994,#脑瘫外卖小哥被封号谢绝网友捐款#
4129691707,#脑瘫外卖小哥被封号谢绝网友捐款#哇这外卖小哥好棒哦希望你好好的！超感动！其实我以为他被网友捐款到封号，我以为大家对他的善意是平台承受不住的 ?
4535919772,#脑瘫外卖小哥被封号谢绝网友捐款#【#脑瘫外卖小哥被封号谢绝网友捐款#：要凭自己能力赚钱】一名脑瘫外卖小哥因为没来得及拍照识别面部，导致系统无法确认是本人，被封停了账号。小哥受访时还笑着认真回答，毫无抱怨，无数网友被他纯真的笑容感动。对此外卖平台回应，已了解到情况，恢复了小哥的接单权限，并且安排专人在未来持续关注小哥的情况，在遵守配送服务规则的前提下为小哥提供必要的协助。感谢大家的关注，小哥目前一切安好。事后，很多网友留言要给脑瘫外卖小哥捐款，小哥谢绝并表示要凭自己能力赚钱。（日照东港发布） 收起全文d
