,userid
0,8068780804
1,7706654387
2,6854433355
3,8065723952
4,4955555643
5,8915556805
6,6038332511
7,3314340724
8,3966994336
9,7874289868
10,3638480643
11,6231297456
12,6232454684
13,7981743588
14,7863494194
15,8243404102
16,4279380224
17,7683728439
18,7874686742
19,4839246280
20,7310638114
21,8533869144
22,6023930738
23,4619498174
24,4417824646
25,2553812213
26,4806268351
27,7804399188
28,7115086867
29,7730758702
30,6070878117
31,2637486065
32,8282690467
33,4222211444
34,6020507171
35,2791146454
36,7944351254
37,4806268351
38,2580940818
39,3844630371
40,6905991164
41,8273582088
42,6125731373
43,2578110850
44,8093118738
45,7458260287
46,3056477308
47,8879336115
48,2713402746
49,4832825614
50,3289134206
51,4832825614
52,3372866503
53,6039922933
54,8100049838
55,4817898050
56,4052874657
57,4052874657
58,3023224539
59,4914957736
60,8640025528
61,6879154884
62,3603066150
63,7010383988
64,3649718579
65,6706383348
66,8596388417
67,4307179267
68,4382959624
69,7918066734
70,6775197676
71,3530656046
72,3927860930
73,3264587510
74,8375825868
75,3581061397
76,4246155456
77,8518675832
78,4402429500
79,8157893076
80,3871079997
81,3927860930
82,7350628977
83,8826170864
84,7667562195
85,3403142300
86,4764416419
87,8935353545
88,7354828005
89,4125070872
90,3559724607
91,3793889072
92,4491626903
93,3961810101
94,3639126366
95,3362449596
96,8299279836
97,2705713969
98,4632633570
99,2669947641
100,3871079997
101,6148439303
102,4722126701
103,2854263011
104,7870388289
105,2620009868
106,7334822597
107,3871079997
108,8152748008
109,4412761957
110,3498565961
111,8327670615
112,3581053762
113,7850301788
114,7119805377
115,2620009868
116,8845664727
117,3654908408
118,2545962328
119,2691474567
120,8501864444
121,3157276703
122,3871079997
123,2659170091
124,3351967785
125,7861213674
126,4621494266
127,7293494202
128,7623465375
129,2601802835
130,3871079997
131,7945099412
132,6106803146
133,4159536031
134,8080995252
135,2670904185
136,3871079997
137,4252626464
138,3871079997
139,3364050668
140,6433823642
141,3853105928
142,8354717786
143,8321497005
144,8250807649
145,3904382270
146,3871079997
147,2843635167
148,7273077278
149,8247174604
150,8338401159
151,3512581286
152,7254878608
153,7884026248
154,7206721235
155,8204652416
156,8496232027
157,3387988842
158,3871079997
159,3748360710
160,8417375459
161,4300550894
162,7133698365
163,8104310586
164,3650308063
165,4151662367
166,6827336209
167,2705528825
168,7515087908
169,6789678205
170,3890141248
171,7343656632
172,6790032852
173,4151662367
174,8157893076
175,3455436558
176,7431215639
177,4151662367
178,3871079997
179,7581457287
180,4300571474
181,8080311416
182,8993152775
183,7701155617
184,2916558351
185,6503642976
186,4912497213
187,7750025036
188,4923820333
189,8299284169
190,2627936398
191,3342846955
192,3871079997
193,7371709546
194,4933364091
195,8379710344
196,7340738378
197,3459040635
198,3997811868
199,7882756957
200,6554517809
201,4425360851
202,3459440811
203,6205661019
204,6849533644
205,7964073287
206,2592902299
207,7045926289
208,8051189189
209,7670159058
210,6756530409
211,4267253395
212,8157893076
213,6754805127
214,3979938811
215,7868171115
216,4642373015
217,4507513122
218,7443072928
219,8450231142
220,8037711212
221,7059978992
222,7956648437
223,7759559666
224,2691474567
225,3918425877
226,2544581712
227,6738608759
228,6303260608
229,3686608376
230,4959455057
231,8206745824
232,7601281552
233,4753882109
234,4740540733
235,3921437710
236,6511125712
237,2581314731
238,8325009504
239,6833530399
240,4066633147
241,4368288002
242,3435455516
243,6796948816
244,7291043182
245,7285809125
246,7349095008
247,7543101956
248,8076803778
249,2545776168
250,7484686176
251,7373467856
252,4478540947
253,2793643204
254,4819544964
255,3492841088
256,3497657137
257,6791478896
258,7305127918
259,4114071698
260,6517136948
261,4887573247
262,3935546488
263,4059850505
264,8945808109
265,7696321146
266,3410541528
267,4621197489
268,2919700986
269,7589443174
270,2998604375
271,6440031078
272,4498883430
273,3871079997
274,6712859664
275,4081307660
276,8070153232
277,6028054883
278,4170354319
279,8906047838
280,2981405622
281,8085824919
282,3070884889
283,7119518409
284,8272862916
285,7509024788
286,4030299712
287,7270767997
288,4761759895
289,3105245897
290,3251250327
291,4464372328
292,7356653877
293,8301142042
294,8037605005
295,7899291346
296,6073104480
297,7145969645
298,7872162176
299,6774548908
300,6484911582
301,6850515405
302,6798736179
303,7712215635
304,8896852804
305,3519212643
306,4174631645
307,2545318208
308,7691001386
309,3632147620
310,8058192167
311,7729363162
312,3514198325
313,3648021630
314,7259203349
315,6497013557
316,3869701739
317,6849534332
318,4460344041
319,2661885579
320,8040601548
321,8684409612
322,7118757815
323,4245097877
324,8336265154
325,8005036042
326,3572377547
327,4329024330
