,userid
0,6684573046
1,7918898608
2,4525356224
3,8369401786
4,7958317705
5,3319540283
6,6264632817
7,8159473197
8,8221447984
9,7119512009
10,2611138700
11,3486454527
12,8108946485
13,3530269859
14,6244427572
15,3265344319
16,3990146880
17,7140456215
18,7152058667
19,2923137580
20,7215778827
21,3780256980
22,3005956724
23,6683859645
24,8087010614
25,7119979798
26,8177212525
27,3459293544
28,3199249406
29,8321880939
30,4240981568
31,3473811890
32,3842443808
33,8731979399
34,6777577509
35,6217937999
36,8094241662
37,3024687004
38,3858037886
39,4937541436
40,8440697479
41,8352351227
42,3531033033
43,3830899735
44,6249700356
45,3409268935
46,3095115773
47,3608821112
48,3094590174
49,7389076912
50,2690354783
51,3780340144
52,4155804549
53,2841631986
54,7848840912
55,4982689703
56,7989067887
57,6145178483
58,3851796657
59,2660943395
60,6145178483
61,6242245339
62,8697295069
63,4855114285
64,2652843998
65,8237242644
66,3490656686
67,2809851407
68,4504698256
69,7291258678
70,6025677022
71,3031557951
72,3532005829
73,3962896390
74,6025439874
75,4493154172
76,3489757976
77,3167704246
78,8750701387
79,8072516644
80,2674953680
81,3513243236
82,3630706868
83,3531896995
84,8262823172
85,3868749368
86,2894747680
87,2908463362
88,3633665352
89,2638756381
90,8417553272
91,3989113361
92,2690013459
93,4371367757
94,7692197498
95,4472062538
96,6825255919
97,7322447387
98,2661845271
99,3637455696
100,7063976542
101,4240981568
102,7389076912
103,4199843253
104,6783427536
105,6052605514
106,8223538316
107,3980037455
108,3830899735
109,4108665611
110,3555804814
111,3485195604
112,3901069844
113,8211146594
114,7425698727
115,8536522249
116,6192361156
117,3860011376
118,2927733313
119,3381540779
120,8234491622
121,8013665832
122,8765678594
123,2748338511
124,4568903337
125,3431408822
126,2617637707
127,4482332502
128,2695126796
129,8017246512
130,4790371701
131,6390952714
132,2708826104
133,7525533759
134,8499937187
135,2605125977
136,4700123289
137,8090722426
138,4958291097
139,6075884334
140,6023503465
141,2660943395
142,3851796657
143,7516874412
144,8904293457
145,6836059544
146,7873978875
147,4061896585
148,6757182069
149,3842245582
150,7842250776
151,4347221228
152,3569476503
153,3780340144
154,2566943895
155,4415200641
156,3389344583
157,3017469162
158,3490656686
159,7383031822
160,7636747744
161,4561523172
162,4485996845
163,2607673198
164,7264543047
165,2800994834
166,7559570918
167,4684842171
168,4707595773
169,8801828152
170,8268146738
171,2846186625
172,8575384886
173,4383043394
174,4925221197
175,7419746932
176,3020940368
177,8153806367
178,4721593526
179,4963663482
180,6145178483
181,6145178483
182,8034447485
183,4537994881
184,3415525633
185,7797106404
186,7378064955
187,7389076912
188,2563990680
189,2872078095
190,3806590328
191,7260611928
192,8057835432
193,3147079630
194,3836492661
195,7917230536
196,4881505245
197,6145178483
198,2669486646
199,6145178483
200,8132048417
201,8493237428
202,7556042946
203,4026914039
204,8346719502
205,6680081378
206,3583233079
207,3652150493
208,6075278056
209,3801783168
210,4688734006
211,8078294702
212,3934595683
213,2674768361
214,7842250776
215,3977364003
216,2595746080
217,3555804814
218,3019730545
219,2595746080
220,3845771709
221,6920013227
222,7389076912
223,8042779626
224,7107715282
225,4356840278
226,8313999717
227,4035748607
228,3535801262
229,2984361612
230,8067856146
231,7843737862
232,4936250652
233,4685120924
234,3504582080
235,3857405952
236,8141271087
237,6701797272
238,6754591959
239,8230727467
240,4225376675
241,7902017952
242,3611200084
243,8553214124
244,6506148317
245,4547250038
246,2716635452
247,7389076912
248,7027498729
249,3967296723
250,4014168696
251,4014168696
252,4014168696
253,4014168696
254,8118835757
255,3354847319
256,3649227948
257,8633214012
258,2596753530
259,3943052542
260,6223470348
261,6145178483
262,6145178483
263,7686365785
264,4374227319
265,8893012308
266,4309144329
267,4563351914
268,8756436342
269,4055914372
270,6145178483
271,3773741776
272,4772572662
273,8332431849
274,6218123265
275,7935760268
276,4091605725
277,2929714673
278,3555725017
279,2625612219
280,2608687553
281,6487258677
282,3544147734
283,4876578028
284,7821517228
285,2929714673
286,7967364852
287,7582439264
288,3544053788
289,7672499349
290,6123449713
291,6145178483
292,6145178483
293,4397954940
294,3919933645
295,6145178483
296,2578207430
297,6822061195
298,7986953235
299,3868749368
300,8672659724
301,3654923873
302,4014168696
303,3518418863
304,6796975167
305,2953721939
306,6699501652
307,6145178483
308,4628888916
309,8324602395
310,6058784403
311,6776945078
312,8354611189
313,2674959877
314,3351473912
315,3016418301
316,7938358894
317,6250958316
318,4006652196
319,8996724796
320,2625326804
321,3388641519
322,4358879525
323,6145178483
324,7204976058
325,7982523112
326,4555854336
327,8600841749
328,6145178483
329,7738895348
330,6145178483
331,6145178483
332,4058765225
333,3532041660
334,6145178483
335,3722571073
336,2596745538
337,2652200564
338,4907230437
339,8475631379
340,8693652335
341,3565009131
342,6145178483
343,7367096626
344,3792299473
345,8189173578
346,7154963297
347,3016418301
348,8840979077
349,3139872586
350,6145178483
351,6133232081
352,4166793301
353,6145178483
354,4063174770
355,8263664577
356,3979157603
357,3825795692
358,3728400773
359,3361365102
360,6085266163
361,2563992811
362,3853049422
363,7713154416
364,4601683509
365,4679414709
366,3199465563
367,3611370102
368,8162027769
369,3057376100
370,3943052542
371,8137966932
372,4000296042
373,4497376033
374,8175385274
375,8063499608
376,2579296584
377,8099894216
378,7389076912
379,4049869335
380,2621468754
381,7820450607
382,2663017026
383,3650606096
384,3979150584
385,3862439129
386,2588182071
387,2957896986
388,2922441982
389,6060073587
390,8253256882
391,4058765225
392,2599818361
393,4606568835
394,6250970209
395,7582455688
396,4008875363
397,3490656686
398,6076164616
399,2713627756
400,4041991847
401,2729686173
402,4582579151
403,7891767389
404,4409496654
405,8429955152
406,8855553287
407,4457541414
408,6116282883
409,3868781071
410,4574014553
411,6364006362
412,3417092005
413,7191650137
414,2606366530
415,3477048562
416,8149964552
417,3516345197
418,7526324747
419,6610020797
420,3398480780
421,6296436219
422,6729273009
423,3639735296
424,2616219784
425,4013092594
426,7325602355
427,4853306809
428,7681502806
429,2779420032
430,3934443744
431,4696630515
432,4449907539
433,8543455766
434,2729686173
435,6939800588
436,6730599355
437,3727276856
438,7656893676
439,8235485037
440,7508225386
441,3417432519
442,7644732186
443,7870757904
444,4146153045
445,7376104668
446,8193105225
447,4823025381
448,4670262008
449,3021396712
450,4627531029
451,2604259286
452,7928769632
453,7956299168
454,4676713363
455,3998028679
456,7884628992
457,8291658266
458,4792175792
459,7849851946
460,7322694467
461,3978137362
462,4073338409
463,4546349982
464,7630280277
465,3658448824
466,7759327745
467,4732947804
468,3720105916
469,8987723082
470,4680870628
471,7598184366
472,4032091770
473,4241326905
474,2717421609
475,2702912123
476,7652568416
477,3226505329
478,4742054065
479,4073387651
480,3379694438
481,4690865778
482,4977571544
483,7158324386
484,8115455989
