,userid
0,3394174080
1,3904382270
2,3828583665
3,8731570614
4,3750842597
5,8157893076
6,4542530281
7,4374731835
8,3500847033
9,7334822597
10,7349095008
11,8157893076
12,2662667654
13,4890093453
14,7861543398
15,7537394919
16,8157893076
17,6123657893
18,2667735825
19,8157893076
20,4382969637
21,8157893076
22,4743425093
23,2576300897
24,6940717712
25,3781434004
26,8157893076
27,4722126701
28,4455049709
29,4671050793
30,8157893076
31,8157893076
32,3582037381
33,3582037381
34,7751865879
35,8157893076
36,8310407522
37,6619953327
38,8157893076
39,3904382270
40,6112074519
41,7186490227
42,8208989606
43,6073871135
44,6882154405
45,8157893076
46,7960246142
47,7557691285
48,8157893076
49,4960388516
50,2783800481
51,3686608376
52,3626653985
53,2719161347
54,8331073516
55,7824313502
56,3318251905
57,3318251905
58,4461897247
59,8039398687
60,4654579235
61,7521601828
62,6184922181
63,7104050049
64,8123734978
65,4961268681
66,8041654628
67,3688727743
68,6895203692
69,2958703041
70,3844719298
71,4881399747
72,4610919506
73,3879141177
74,6917893789
75,7230114978
76,4695973238
77,8579842034
78,4048111736
79,8341838588
80,8247136729
81,3981283294
82,7184775285
83,7564680065
84,4743425093
85,8247136729
86,4695973238
87,4154022722
88,4165940242
89,8003620969
90,8156226024
91,8133373934
92,8724959018
93,2932678952
94,4873085411
95,6672614329
96,3839040804
97,2691474567
98,4963729232
99,4891195617
100,8249929828
101,3538391492
102,8299284169
103,4054226250
104,4343524620
105,4672033838
106,8197012054
107,7211905047
108,8770851845
109,4192327959
110,8057905014
111,4723881516
112,7878827764
113,2790518709
114,7161675054
115,4687276191
116,3349107358
117,4116894931
118,2996196651
119,7114988042
120,8003620969
121,4700021601
122,4304319717
123,7768416332
124,4740298023
125,2584714926
126,4154022722
127,3131728289
128,4619045572
129,7397020488
130,3361530423
131,4304319717
132,4721593526
133,7955771232
134,3993681065
135,3974397571
136,6682272384
137,2783072489
138,6994882365
139,3374438565
140,3020906324
141,2709737932
142,8420828767
143,7247624234
144,4062979948
145,3983598340
146,8119077852
147,7987183985
148,3813672323
149,2978470229
150,2905713896
151,3936956900
152,2547492149
153,4166169480
154,2930870757
155,7211905047
156,6327653086
157,3884486114
158,3528919684
159,7066549118
160,7768416332
161,4465016375
162,4144199371
163,6156373722
164,3492834965
165,7541781866
166,3799762198
167,3362470689
168,6060582238
169,4341864766
170,3400685767
171,7114988042
172,3592753299
173,4426911258
174,3801090866
175,4651735466
176,3826869364
177,6798607318
178,3067818598
179,3802316556
180,3826869364
181,6782025502
182,2543819856
183,8157893076
184,3986892707
185,6991580855
186,6800863034
187,7343656632
188,6782025502
189,8210405032
190,4955791684
191,8541743979
192,8157893076
193,3613492713
194,6189977511
195,3548595721
196,8033284319
197,6922016827
198,7260975666
