,userid
0,8261900449
1,8121843458
2,4413285895
3,4409905613
4,4600794588
5,4412082355
6,4410144015
7,8298174616
8,8392607577
9,4410862244
10,4163391833
11,4059397961
12,4413120809
13,8157893076
14,4414017730
15,4409880586
16,8157893076
17,7990082719
18,7316139665
19,6716021802
20,7286996708
21,8157893076
22,4412395215
23,8157893076
24,3643980591
25,8705188094
26,4413867968
27,4412408322
28,8157893076
29,3281352787
30,6047680630
31,4195458914
32,7325043126
33,4873157983
34,7262007896
35,7915325484
36,4125753718
37,8157893076
38,7915325484
39,6047680630
40,6047680630
41,4129499894
42,6350006582
43,6047680630
44,7915325484
45,2589363956
46,3827114250
47,2542093995
48,2559545628
49,8157893076
50,3987384326
51,8210569549
52,8157893076
53,4764860906
54,3116105305
55,7792335184
56,8157893076
57,7188681248
58,4410125232
59,4118021151
60,8573015462
61,8157893076
62,4412924640
63,8157893076
64,4118021151
65,2604349198
66,6047680630
67,6776206462
68,6391397359
69,6776206462
70,8982331438
71,8157893076
72,4412642036
73,4410236717
74,2634257725
75,6451396072
76,8157893076
77,4316260795
78,6805865925
79,4543406938
80,3662462053
81,7059116452
82,8418497214
83,4263448800
84,6800412189
85,3415796862
86,8543199158
87,4383081305
88,7556540544
89,6940717712
90,8091432506
91,4691278776
92,4755056447
93,3703212268
94,3586449477
95,7018707646
96,4346022017
97,8157893076
98,7846717065
99,8785901515
100,3745834676
101,6268573656
102,3239600584
103,3642541975
104,4341864766
105,6830289948
106,3631213759
107,2784698692
108,6384876402
109,3642543505
110,3701808969
111,3305334008
112,4986262561
113,4272927757
114,4986262561
115,3015494870
116,3189927270
117,8129987697
118,3421115310
119,6250681104
120,6138817836
121,4087804766
122,6159231296
123,2661885579
124,8541329952
125,4012963604
126,8345770446
127,7115197906
128,7115197906
129,2962645415
130,7896018332
131,3642541975
132,3404809958
133,3269208507
134,8157893076
135,4130518620
136,7957900039
137,6817981309
138,4886644130
139,6848344142
140,3367718221
141,4887085738
142,3396817088
143,3343297822
144,3948051721
145,4762384510
146,4499074872
147,7049790018
148,3642541975
149,2716321746
150,6184469117
151,8392607577
