,userid
0,3706671992
1,4412592034
2,7252269158
3,3926082184
4,6036011721
5,4292619893
6,6765891467
7,4352169498
8,4091178435
9,7678789504
10,4900945047
11,3926082259
12,7323199205
13,6869692148
14,3922567936
15,4022746711
16,2671240271
17,4016140343
18,6128933149
19,7158910452
20,8349066484
21,7850301788
22,8015394816
23,4220714741
24,6765891467
25,7861213674
26,4914041065
27,8171906285
28,6433823642
29,3929482634
30,4666306392
31,3207238594
32,6893422044
33,3966994336
34,3922328121
35,4914041065
36,7369429474
37,7872539834
38,3585757665
39,3585757651
40,4738476063
41,3136322962
42,3585458685
43,3578879174
44,3407697357
45,3578879179
46,3579100564
47,3578879207
48,3585757644
49,3579100541
50,3579100561
51,3138383135
52,3578879244
53,3585757659
54,3171016276
55,2881945267
56,3578879188
57,3585458678
58,3585757637
59,3585458667
60,3557290559
61,3585458673
62,3903479638
63,3579100556
64,3138884532
65,3585458674
66,3135317310
67,3585757646
68,3585757660
69,3578879202
70,6386894504
71,3578879214
72,3585458688
73,3579100591
74,3579100549
75,3139448205
76,3585458686
77,3585458693
78,3585757654
79,3136315480
80,3585757661
81,7923744747
82,4267253395
83,2692018046
84,2859164677
85,7293494202
86,4837717834
87,3848156476
88,7977635695
89,3922553445
90,6765891467
91,8724204078
92,3922354638
93,7010383988
94,7605700975
95,7874259204
96,8405872485
97,3648385484
98,8597746628
99,6673889055
100,6572733917
101,6673889055
102,6572733917
103,6673889055
104,6572733917
105,6673889055
106,6572733917
107,6673889055
108,6572733917
109,2785889347
110,6673889055
111,6572733917
112,4755909201
113,6673889055
114,6572733917
115,6673889055
116,6572733917
117,6673889055
118,6572733917
119,6673889055
120,6572733917
121,3921437710
122,6673889055
123,6572733917
124,6673889055
125,6572733917
126,6673889055
127,6572733917
128,6673889055
129,6572733917
130,6673889055
131,6572733917
132,8155032585
133,6673889055
134,6572733917
135,7580505005
136,4382959624
137,4914041065
138,7293617918
139,7911679248
140,7711264466
141,4354243991
142,3336829565
143,6835042287
144,6687259806
145,8080927916
146,6765891467
147,8807858628
148,7394866754
149,2688079894
150,2643508841
151,7964571389
152,8041654628
153,7296512478
154,8834024986
155,8235156297
156,7254197202
157,8299279836
158,4353043402
159,3702854865
160,6717340527
161,3595416480
162,7999835916
163,2809656020
164,7286971138
165,3289134206
166,7529132056
167,4482228123
168,7557726926
169,3848156473
170,2568841450
171,6062651648
172,6262341757
173,7863494194
174,3926084655
175,3917125804
176,3246450032
177,4826760332
178,3943052542
179,7874289868
180,3243517129
181,8844560892
182,8287795409
183,4020943195
184,8834024986
185,6765891467
186,4017721057
187,3922069152
188,3586913970
189,8349073607
190,8349073607
191,3293107695
192,7238264556
193,3922557878
194,7343920778
195,6184922181
196,6180194850
197,6088799668
198,4654579235
199,3107298150
200,2955011338
201,3762961978
