,userid
0,3815947778
1,7603315712
2,7525533759
3,7894589786
4,3394975661
5,3627488618
6,3481170644
7,7485153256
8,8998663462
9,4065557555
10,7955810305
11,8071984045
12,6701797272
13,3905110386
14,8768331132
15,4401283734
16,6121819077
17,3795833417
18,3895829454
19,8253256882
20,2921258910
21,7171352256
22,3673277520
23,8253256882
24,7151697404
25,8253256882
26,3543288191
27,8822082038
28,8359810976
29,3951556376
30,4225370724
31,8265099222
32,3735896180
33,3980092673
34,8125657486
35,8137763945
36,3550731798
37,7661603135
38,8253256882
39,3709143441
40,4186463460
41,3654733618
42,3318251905
43,4910576995
44,2637314342
45,8157893076
46,8157893076
47,4554512298
48,2977831790
49,6290954269
50,6443686076
51,3702313861
52,8549077706
53,4489455803
54,3750842597
55,8157893076
56,8157893076
57,8354226134
58,7367303848
59,8086301304
60,4904013130
61,8157893076
62,8022539182
63,8157893076
64,8157893076
65,8157893076
66,8157893076
67,2576160001
68,3563376517
69,4481942337
70,3822642505
71,8018138946
72,6247149315
73,7894589786
74,3551933948
75,3671602593
76,8133625988
77,3098752191
78,4610919506
79,8157893076
80,6125731373
81,8339995669
82,7005211669
83,4697881946
84,4960963130
85,2718208402
86,7171352256
87,3215772304
88,7066855998
89,4020251128
90,6458108497
91,2651518887
92,8036136992
93,2974986986
94,7485153256
95,3801713801
96,3933806452
97,2974986986
98,8083096395
99,4225370724
100,3554585413
101,8459808686
102,4541913694
103,7918821486
104,3734809905
105,7079048364
106,7184132428
107,8095706768
108,3110678550
109,3695056038
110,3642500132
111,8496232027
112,3621652332
113,3815839078
114,8899687952
115,3736643320
116,8157893076
117,4272750407
118,8157893076
119,4300571474
120,8302882337
121,7596423112
122,3726028777
123,2568951511
124,3878071089
125,2656190718
126,6150592054
127,6261970292
128,7326440796
129,7485153256
130,3878071089
131,6764721294
132,3539701936
133,7351172905
134,8157893076
135,3694663801
136,4284789481
137,2716635452
138,7077033717
139,3885169331
140,3917693872
141,7029730908
142,2689606396
143,4385987791
144,3296965599
145,2708057002
146,3417083260
147,3884597001
148,8109856448
149,3487748377
150,3297798234
151,7519101397
152,3869130557
153,7334314108
154,2603558670
155,4403704821
156,3949098470
157,4921794161
158,4085993324
159,7017205008
160,2662150575
161,6096824874
162,3807122711
163,8157893076
164,4340982775
165,4289440387
166,7529594229
167,3995723242
168,3140953789
169,6904616252
170,8341048725
171,2987868976
172,3344606235
173,7077033717
174,7887559348
175,3804325104
176,8022539182
177,3344606235
178,7449590309
179,3593242121
180,7947989847
181,6703444729
182,6738608759
183,4212537882
184,4212537882
185,6738608759
186,7686245577
187,8157893076
188,6738608759
189,8157893076
190,4304319717
191,7077033717
192,4343180817
193,4382743554
194,7391039038
195,3545485890
196,7300567955
197,4376273429
198,4890093453
199,4673388083
200,7709204897
201,8157893076
202,8659470764
203,8720186458
204,4367548496
205,7006950025
206,8891757038
207,4126973156
208,3201644434
209,3537869693
210,8377914392
211,3958931517
212,7449145358
213,7402502369
214,4347728322
215,2716635452
216,7017205008
217,8724959018
218,4738833875
219,4711946903
220,8087284938
221,4764280692
222,3999967162
223,3999967162
224,3522037884
225,6996355444
226,3335284154
227,3687928658
228,3140953789
229,3577814802
230,7539414949
231,6022877660
232,3452479532
233,4695438062
234,8335791497
235,4373594424
236,2609895571
237,3938719846
238,3965509859
239,2566917358
240,7917276916
241,3501842320
242,4467375175
243,4467375175
244,4077155620
245,7470830952
246,7017509446
247,6110481413
248,4467375175
249,4453406249
250,4716392950
251,3645252654
252,3762636975
253,2566917358
254,4761979965
255,4453406249
256,4114642587
257,4716392950
258,4638035184
259,8157893076
260,7367303848
261,8282742185
262,7689336692
263,8085301782
264,3966546862
265,3208539990
266,8407363105
267,2868918539
