userid,text
7050740482,不是不收退票费了吗？这简直完全不退啊，又不能回去工作？该怎么办？村里路都被封了？该怎么坐高铁去上海转飞机？#携程##携程去哪儿飞猪退改保障##携程境外游退钱##携程旅行##携程崩了##春运##春运如何严防新型冠状病毒##肺炎疫情下的春运##平安春运交警同行##安徽##上海海关##出入境##海关##浦东机场##上海##安徽阜阳##宅在家的正确姿势##职场##上海延迟复工和开学##安徽出现聚集性疫情# 2阜阳 收起全文d
4431453727,2020大年初三不出市区的长途旅游#安徽出现聚集性疫情# 2芜湖 #芜湖生活# #芜湖八佰伴# #芜湖身边事# #万众一心打赢疫情防控阻击战#  L后羿的GTR的微博视频 ?
4364630147,啥时候才能出门溜溜啊#安徽出现聚集性疫情# 2淮南·凤台县 ?
3417811857,口罩不好买，我买个防毒面具先顶一下。毕竟比口罩便宜，换滤芯就行了#安徽确诊新型肺炎60例##安徽出现聚集性疫情# ?
8588077334,//@奔六://@如来天眼观:#安徽出现聚集性疫情#只能说，安徽人民对死亡太没有感觉了！这个时候还要聚集，这是非得把病毒引到家门口不罢休呀！不作不死，聚集了就得对自己的行为付出应有的代价
8295249292,#安徽出现聚集性疫情#意料之中…今天终于听到正式宣传车声音了… 初一初二亲人团出去三次环绕乡镇宣传，家里人没有进行任何拜年聚餐，家里食物也够，没啥需要出门了，除了快没有口罩了外… L木木愚的微博视频 ?
3474977528,【#安徽出现聚集性疫情# 群众反映当地存在婚丧宴席照常办情况】1月26日，安徽蚌埠一农村给小孩办10岁生日宴，知情者介绍：现场有五六十人，大部分人都没戴口罩。截至26日24时，安徽累计确诊70例新型肺炎。27日，安徽省卫健委在例行新闻发布会上表示，安徽省已发生聚集性疫情情况。蚌埠市27日发布公告：公共场合必须戴口罩，各类群体性聚餐一律停办。L一手video的秒拍视频 收起全文d
7011339648,#2020第一双新鞋# #安徽出现聚集性疫情# #减肥# L壹健身的秒拍视频【减脂热舞教学！跳舞也能减肥？比跑步还要高效！】 ?
6174528745,#武汉加油# 请一定一定要找一个满眼都是你的男孩子。下飞机刚回家，两人隔着两米见了3分钟??希望疫情早点过去??@-我想陪你吹吹风- #新型冠状病毒# #安徽出现聚集性疫情#  微博视频 #武汉加油# ?
6944348784,#戴口罩自拍大赛# 晚安，加油#抗击新型肺炎我们在行动##安徽出现聚集性疫情#  2芜湖 ?
7840668279,#安徽出现聚集性疫情#安徽出现聚集性疫情我真的一点都不意外，明明大家都知道疫情严重，还都事不关己，串门的串门，走亲戚的走亲戚，狗命大呗！玛德，好好在家，01KzIbe27，给社会添乱不好嘛…，建议其他地区去抄河南的作业人民热议的微博视频 ?
3927110239,#安徽出现聚集性疫情# 病毒溯源获进展，武汉华南市场女老板曝光！武汉肺炎疫情持续引发关注，中国疾控中心于近日在病毒溯源研究中取得进展，证实武汉华南海鲜市场存在着大量新型冠状病毒。同时，该市场幕后老板遭起底。经调查发现，华南海鲜市场名义上是海鲜市场，但实际上却是个综合市场。华南海鲜市场西区存在野生动物交易，曾有多家商户售卖虎斑蛙、蛇、野鸡、刺猬等动物。华南海鲜市场，实际隶属于武汉华南置业集团有限公司，其法定代表人为余甜，股东余其泽，系余甜的弟弟。 收起全文d
3922793988,【#安徽出现聚集性疫情# 群众反映当地存在婚丧宴席照常办情况】1月26日，安徽蚌埠一农村给小孩办10岁生日宴，知情者介绍：现场有五六十人，大部分人都没戴口罩。截至26日24时，安徽累计确诊70例新型肺炎。27日，安徽省卫健委在例行新闻发布会上表示，安徽省已发生聚集性疫情情况。蚌埠市27日发布公告：公共场合必须戴口罩，各类群体性聚餐一律停办。L一手video的秒拍视频 收起全文d
7217590554,#旅院卧谈会# 纵观全网，有些父母非要：走亲、访友、串门、打牌、聚会、喝酒？#安徽出现聚集性疫情# 你们担心父母哪点做的不到位呢？ ?
3725201717,徒手康复训练第二天俯卧撑30×11组结束。腰又隐隐作痛了。训练伤真的难顶啊健身#健身打卡##安徽出现聚集性疫情# 2巢湖市 ?
7492650155,那个口口声声说喜欢你爱你的人，在疫情出现之后，一个电话，一个短信都没有给你打给你发过。甚至可以做到很多天不联系的，#安徽出现聚集性疫情# 这个人值得去交往吗？ 2合肥·肥西县 ?
3263841130,#安徽出现聚集性疫情#同安徽人 过年这几天一直待在农村 镇上看着也没啥宣传措施 家里每天还是有一群人聚在一起打麻将 还是天天串门的那种 唉真的不知道自己或者家人会不会某一天忽然就传染上 我这边县城医院又落后 没有专业器械 县医院的医生都不敢看新冠病毒（自己也怕染上 村里还有几十个武汉务工回来的人 怎么办我真的好慌只希望这次聚集性疫情不要再扩散了 自觉一点能少很多破事 真的 收起全文d
4931797903,#安徽出现聚集性疫情#看了这么多天关于疫情防控的报道，发现几乎都是公立医院在冲锋陷阵，而之前得到多个部门力挺、用超高待遇挖走了很多公立医院人才的私立医院则不见踪影。“有事钟无艳，无事夏迎春”，平常鼓吹发展私立、出事时却全靠公立，这个现状你觉得合理吗——  ?
3424434864,#安徽出现聚集性疫情##武汉加油# 我们一定可以一起扛过去的！武汉加油！安徽加油！中国加油！！！ 2芜湖 ?
4782017617,#广东首株新型冠状病毒毒株分离#一线的战士们在保家护航 却还是有些憨批不放心上 乱跑 做些无中生有的事儿！ 给这些战士们增加负担 你要知道 你现在还没事儿 那是因为他们在为你负重前行 否则你可能已经下去了#安徽出现聚集性疫情##女儿举报父母外出打牌聚会# ?
