,userid
0,4161955115
1,6640628407
2,4314856135
3,4314856135
4,3659629753
5,4314856135
6,4838197563
7,6313355318
8,6990715284
9,4348443007
10,7239019594
11,4305910165
12,2685296042
13,6799307668
14,6955460474
15,6444688585
16,3558871309
17,4592954653
18,3039672744
19,3695627591
20,6694094627
21,6722323602
22,6715928014
23,3423108682
24,3480679852
25,4275382414
26,3952985464
27,4384131937
28,4457122933
29,4395739903
30,2688703364
31,6714823546
32,4869340571
33,4029728579
34,3568103701
35,4917644796
36,4272765960
37,4314856135
38,3558972622
39,3565864098
40,6554792305
41,4648402334
42,6023584256
43,8074113405
44,2580422478
45,3745551216
46,4171562689
47,2734296837
48,4036646855
49,3692098599
50,4296825834
51,3868960410
52,3691917059
53,6340750634
54,3671230879
55,4314856135
56,4356996342
57,4415466983
58,3478257930
59,4814515600
60,2680388929
61,3603524346
62,3974468657
63,8066711907
64,7721577005
65,7720936079
66,3812813596
67,7386618326
68,6023676827
69,3475110426
70,4180316924
71,4956393234
72,4344046089
73,4971163367
74,3809538605
75,8073715126
76,4344073269
77,4305402749
78,4821455666
79,3064482445
80,7976185048
81,4145986551
82,4441660636
83,4046764706
84,3395635896
85,3993588324
86,4044838866
87,4506495827
88,4023973987
89,4744859984
90,8215601318
91,4147897901
92,4328895950
93,8106104367
94,6133508140
95,3707432740
96,4368806296
97,3713212183
98,8202967796
99,3603519110
100,3963724095
101,3428634741
102,6759691518
103,4462847072
104,3559762139
105,8334182278
106,4305402749
107,8338652442
108,4116521668
109,7028287147
110,3822135005
111,3963179321
112,2962963019
113,4305402749
114,4646973589
115,3531027323
116,3661607563
117,3808266186
118,2544392486
119,2904464662
120,4398556157
121,3992955377
122,3672691978
123,8030706078
124,2875575664
125,4305402749
126,3982334792
127,4469309173
128,3416714486
129,8149407558
130,4736355889
131,4130546078
132,3908957270
133,2789312097
134,7191420958
135,6090835888
136,3702235621
137,3383727376
138,3976112147
139,4132426460
140,4116293706
141,4434005594
142,7789344556
143,3330696540
144,2696476261
145,6114823327
146,4506192206
147,4305402749
148,4168721736
149,7400465874
150,3734273968
151,4642742270
152,4607430736
153,3551245169
154,3923980289
155,7505761936
156,6811973815
157,3386421344
158,4563394102
159,3569193177
160,3543776083
161,8196667166
162,3002159490
163,4318472014
164,3558975030
165,4373902485
166,4710511654
167,3695812780
168,4362403928
169,3614160719
170,4157623261
171,7667215906
172,4305402749
173,4738591075
174,4407718948
175,3983202524
176,2560256495
177,4275994864
178,3991717528
179,6723341838
180,3250836280
181,2679631784
182,7569634122
183,3531672831
184,8801048588
185,2696761322
186,3727682473
187,3700392642
188,2964527101
189,4332751495
190,3430247625
191,4023947051
192,3870998136
193,3882626355
194,3662234950
195,3347934818
196,4164145411
197,7355315918
198,7184798452
199,3531689649
200,7128058445
201,4918654817
202,6899370647
203,4055533130
204,4118070172
205,4403403397
206,6842085614
207,6022634863
208,4587896267
209,3356751674
210,3406954900
211,3257646530
212,4484055059
213,4126562562
214,6052332794
215,6721564875
216,3418887741
217,4853332409
218,3882521092
219,3932058194
220,4055533130
221,6472103635
222,6846221375
223,4358142765
224,4305402749
225,3715722834
226,4860748723
227,8040297916
228,7923744747
229,3950368212
230,6159947122
231,6051512836
232,2665140873
233,3565865640
234,6684341446
235,7389743496
236,6058908156
237,4664253028
238,3555090151
239,4582277169
240,6485234424
241,6618675527
242,3197886396
243,4691221751
244,6494529789
245,4907331976
246,2684225398
247,4007943875
248,4825932366
249,4158306974
250,4338364208
251,3670562257
252,3703217181
253,4131581040
254,2973293549
255,8043262969
256,4397362947
257,3558975840
258,4217323540
259,4745909593
260,2661806240
261,4391203591
262,3569213690
263,2642876774
264,4033283189
265,3480748048
266,3929014558
267,3387930401
268,4365889696
269,3670381528
270,3990378685
271,3958875338
272,3769151583
273,4430103201
274,3912421705
275,7063380852
276,6717660612
277,3582591165
278,2587983892
279,4312840721
280,8187098947
281,3570882649
282,3563917635
283,7318604536
284,4804612831
285,3673644189
286,4209817920
287,6792531034
288,4870026303
289,4697406207
290,6908206722
291,3644160528
292,3531508079
293,4420683755
294,6152153880
295,3130362500
