,userid
0,3403317250
1,7746916197
2,7896746487
3,4728008261
4,4374387269
5,3832153885
6,4275751778
7,8597829548
8,2658281828
9,6781270925
10,3682865718
11,4615278641
12,3706663138
13,6196401904
14,3109254174
15,6304491462
16,6979186019
17,6515419998
18,3108726166
19,4724646027
20,3126271591
21,8195873514
22,2987048690
23,3109529524
24,6183597116
25,4511543219
26,3543995095
27,8229133912
28,8785800704
29,7919839412
30,7989095918
31,8955655229
32,7726183566
33,6219425297
34,8192929426
35,6712804398
36,3885199524
37,7924695414
38,3109431921
39,7220421195
40,8885535935
41,3978287028
42,7754260794
43,2800383805
44,6018665944
45,4162574988
46,4659838032
47,4356496280
48,4599574554
49,7285566156
50,8141634817
51,4138221663
52,6155578248
53,3611801009
54,4306728810
55,7393442658
56,2930089733
57,8770046874
58,4234495672
59,7355957859
60,3473884793
61,6958436565
62,3800101881
63,6998977452
64,7805409674
65,3812201726
66,6798261756
67,2691197055
68,6779170196
69,8226707778
70,4148196996
71,3855543134
72,8142028195
73,4759814674
74,8108792327
75,7140142337
76,6151879209
77,6310803514
78,8606797306
79,8921613504
80,3511331959
81,8125403257
82,8921613504
83,7489284184
84,8606797306
85,8355119168
86,8930565377
87,3817135604
88,2602772821
89,8315140875
90,7507589059
91,4148196996
92,8034360845
93,8231732794
94,2589087980
95,3411519738
96,2888498089
97,6701797272
98,3679062423
99,7524804664
100,4253460299
101,4001902556
102,3913438535
103,4472319018
104,3503609921
105,4872872713
106,3486599875
107,4325700293
108,7056096507
109,7991116158
110,4684855533
111,3812524737
112,3917836848
113,4666846947
114,8120135024
115,3870100221
116,6993515175
117,2863814158
118,2711986670
119,4159736974
120,4049805908
121,3461838108
122,3997992496
123,4427417196
124,2577449947
125,2706850913
126,2577449947
127,3482564088
128,2638209200
129,4789322330
130,2709620821
131,4145806649
132,6177329269
133,6115019421
134,6787945289
135,6004330745
136,4927838531
137,2856850160
138,3406018549
139,6251225738
140,2595414935
141,2716613145
142,4182951761
143,4602957418
144,3939547434
145,4680255476
146,3617148470
147,2620289661
148,3961507381
149,4291860507
150,7767076788
151,3527696414
152,8286483517
153,4331637827
154,4335082562
155,3759208049
156,4324389771
157,8777621678
158,8059228236
159,4087394427
160,7054605039
161,6076235180
162,7061673142
163,3884846965
164,4520911149
165,6281792425
166,8340471345
167,3747372965
168,2631006374
169,8323448577
170,6384876402
171,3887473122
172,8938239536
173,7018390337
174,6060076338
175,4129662600
176,2577386628
177,7403852058
178,8123033212
179,6781633227
180,4292807684
181,7378064955
182,6037314023
183,6963115869
184,8459820435
185,4388162985
186,8022539182
