,userid
0,6190811302
1,3567841496
2,6678096097
3,2607807192
4,3660815284
5,2613367318
6,2613055105
7,8179968485
8,3835081468
9,8440697479
10,8057835432
11,4680077980
12,3835081468
13,8354611189
14,6037314023
15,2620710805
16,6270354277
17,2607784841
18,8211674207
19,2609785278
20,2612761164
21,2609456751
22,3842442927
23,3849859315
24,6777711825
25,3871386048
26,2607775651
27,8184233268
28,2686276286
29,6086248409
30,7247344514
31,4680077980
32,3842442927
33,8193540845
34,4855821362
35,4855790585
36,3871079997
37,4252846667
38,3884862069
39,2613379856
40,2612439680
41,8184233268
42,3688738328
43,2651472310
44,8777621678
45,3835081468
46,7233671908
47,3805973132
48,2609062999
49,4717984208
50,3851796657
51,2582330111
52,3380439078
53,3868749368
54,4252846667
55,6190811302
56,3770634479
57,2614242775
58,3097981780
59,2894747680
60,3780340144
61,3687193236
62,7488350594
63,7509690549
64,7488350594
65,3842443808
66,7742185574
67,2676560295
68,4863059647
69,7509690549
70,4478992855
71,8403012654
72,4108845888
73,4854542728
74,4225058784
75,6503402426
76,8099626925
77,3851796657
78,7917276916
79,8401966854
80,4358879525
81,7751165014
82,4250453470
83,3830901967
84,2611981117
85,8534653522
86,8845664727
87,8588888135
88,3780340144
89,6171158621
90,4503379257
91,2607842948
92,6774130812
93,7480768596
94,6199088200
95,2736346078
96,4291649638
97,6932562938
98,2602181477
99,2736346078
100,3830859302
101,7700348582
102,3830899735
103,8089954939
104,7726364488
105,4680077980
106,3842442927
107,7585959389
108,8724204078
109,8431247927
110,3871079997
111,3283940737
112,2675323077
113,2661845271
114,2686594255
115,2620710805
116,2613379856
117,2613055105
118,3868781071
119,4119860759
120,2607803572
121,2607784841
122,8062833715
123,2670558989
124,4358879525
125,3005956724
126,3842443808
127,4662699518
128,6420237446
129,7831088016
130,6125731373
131,2613055105
132,8095901938
133,3283940737
134,3616280732
135,4110832263
136,8925981385
137,4854542728
138,3770634479
139,2683483407
140,8024741767
141,8137493699
142,7612015764
143,3692933437
144,4455141752
145,3871079997
146,7497840527
147,8401959875
148,4362934546
149,6190811302
150,7960246142
151,2607402170
152,8440697479
153,7616349118
154,4684369671
155,3884862069
156,3868749368
157,4358879525
158,7454799876
159,7634071706
160,8581336135
161,7593439868
162,8935353545
163,3409773884
164,3425334365
165,4151584783
166,3871079997
167,8502912919
168,8214624452
169,3336746972
170,4662699518
171,3687195889
172,4809465176
173,3830901967
174,4358879525
175,3840557755
176,4215094748
177,3618144815
178,8091943379
179,7033928995
180,8588888135
181,2628331533
182,6190811302
183,3780340144
184,8056616089
185,4026360565
186,3857405952
187,3830859302
188,7292475392
189,4680077980
190,3818468667
191,3868781071
192,2660943395
193,2661845271
194,2736346078
195,4358879525
196,3687193236
197,2609041216
198,4467256517
199,8100101919
200,2595057910
201,3180493387
202,3859612524
203,2595057910
204,4473078633
205,4358879525
206,8318105712
207,2609062999
208,2609053006
209,3997811868
210,2674953680
211,3687195889
212,7681370759
213,4971649833
214,2756275596
215,3868913866
216,8631646225
217,7190798749
218,7861230284
219,2674959877
220,8829019528
221,4863059647
222,2670558989
223,7856108235
224,3786040307
225,4854542457
226,4250453470
227,4855790585
228,3425334365
229,3871079997
230,7691663755
