,userid
0,6762859348
1,3835081468
2,2670191129
3,3864234174
4,2563566893
5,3473811890
6,2661845271
7,7541031144
8,2607787192
9,4662699518
10,2675321658
11,2609785278
12,8440697479
13,3707559920
14,8730533618
15,8266365217
16,2629274505
17,8072516644
18,2608687553
19,3857405952
20,2675324335
21,4250453470
22,3687195889
23,8649019705
24,6762859348
25,7375832612
26,3457863389
27,3830901967
28,2607430238
29,8293267152
30,7077033717
31,2791146454
32,3457517445
33,2614242775
34,3836492661
35,2608683512
36,2609067370
37,2694554766
38,2675321658
39,2607784841
40,4862967446
41,2607402170
42,4834430461
43,6343918858
44,2629228326
45,2613385894
46,2607803572
47,8304709965
48,7653445754
49,2602181477
50,3364289029
51,3842245582
52,4250453470
53,3395770251
54,4250453470
55,2608137617
56,3864234174
57,3868987703
58,7742185574
59,4252846667
60,8730714649
61,3903048070
62,2607422020
63,4855821362
64,2943178496
65,8811740505
66,6959571939
67,3859507305
68,7821546457
69,4769094063
70,4465694298
71,2608683512
72,4863059647
73,4335179467
74,7917230536
75,3543438937
76,2608683512
77,2587958194
78,2675323077
79,7907488664
80,7718129542
81,7842828056
82,3540311222
83,3859612524
84,2610958169
85,3635109670
86,6190811302
87,8072516644
88,2587958194
89,2843822456
90,3884862069
91,2609053006
92,3318251905
93,2661845271
94,8438020316
95,7233671908
96,3551793214
97,7086136837
98,2608137617
99,3975933285
100,7821546457
101,4000748869
102,4079953738
103,7027498729
104,2686276286
105,2674959877
106,3473811890
107,2675318385
108,3182444979
109,2711398530
110,3656875503
111,3418234076
112,3426064964
113,4863059647
114,7286718444
115,3646242823
116,2894747680
117,7260611928
118,7821546457
119,2640664768
120,8036136992
121,7613919128
122,8022110462
123,8079098994
124,4385987791
125,7543101956
126,8357911722
127,4700021601
128,8324832824
129,4000748869
130,3687195889
131,3388898512
132,3485195604
133,4769844440
134,3327009995
135,4130518620
136,8304709965
137,4769844440
138,7370535212
139,2837785449
140,3830859302
141,3786040307
142,4172489708
143,8157893076
144,6680714964
145,2675324335
146,7077033717
147,2776329214
148,4840234723
149,2930222506
150,3342817318
151,3520717335
152,8055624215
153,4662699518
154,4226058198
155,4680077980
156,6826366182
157,6769693844
158,6455578039
159,8137493699
160,3884862069
161,8743275089
162,2823796273
163,2833602543
164,2607410636
165,2860751103
166,2832892618
167,8136975157
168,2786034590
169,2831958395
170,4769844440
171,3830901967
172,3864234174
173,2943178496
174,2613367318
175,2860774042
176,2831940021
177,2833613502
178,8056616089
179,4127697225
180,7077033717
181,3649184591
182,2856498873
183,2859865700
184,4127890161
185,7454799876
186,4722013425
187,3559856582
188,2823769396
189,3580217733
190,2860903482
191,2832874787
192,2832121877
193,7458742626
194,3017713499
195,2797053491
196,2832132555
197,2833591165
198,2662702772
199,2831997619
200,2822680681
201,2822699910
202,2659064579
203,3382076483
204,4049824500
205,2612439680
206,4208410651
207,2822673431
208,4335179467
209,3578877998
210,7101714675
211,2609067370
212,3578878228
213,3005956724
214,2736346078
215,3360776782
216,3555334690
217,3360776889
218,3423965346
219,2797053491
220,7373467856
221,2608133960
222,4957381776
223,3579099621
224,3017098159
225,2703977343
226,2782783657
227,7742185574
228,3323426173
229,3318559010
230,2607775651
231,2602181477
232,3749175017
233,2602181477
234,2703977343
235,2666992036
236,2607775651
237,3497689321
238,8151037047
239,3610496148
240,8352351227
241,2612439680
242,7481788522
243,2629274505
244,3786040307
245,2995482368
246,3532815124
247,8147554672
248,7381369012
249,2581812918
250,7052084508
251,6715349124
252,2588926211
253,3547747200
254,4828167013
255,2768337598
256,7816457514
257,7454799876
258,4611101551
259,4290191117
260,2627715556
261,4690928073
262,4875787800
263,4079953738
264,6040268798
265,7485153256
266,2607422020
267,4397447134
268,3501842320
269,3649718579
270,4598040735
271,2797053491
272,6125731373
273,4886255170
274,3108885365
275,4854542728
276,2955410149
277,4680077980
278,2912092178
279,6455578039
280,2994081318
281,7406003254
282,8157893076
283,3437928926
284,2608683512
285,2724383638
286,2797053491
287,3004401235
288,7296839387
289,2608137617
290,3497689321
291,3504898684
292,7296839387
293,6354541492
294,2986635680
295,7982523112
296,4958683714
297,2724383638
298,2995482368
299,3118573918
300,7540034848
301,2571984317
302,6762859348
303,3143666831
304,4710682777
305,2908520320
306,3468495699
307,7406003254
308,7406003254
309,3250309881
310,7406003254
311,2607775651
312,3209409041
313,3859507305
314,2659642378
315,7481788522
316,3519573803
317,4000748869
318,3519573803
319,3519573803
320,8157893076
321,3519573803
322,6190811302
323,4875787800
324,7177013565
325,3485195604
326,7347692845
327,2675324335
328,4875787800
329,8030756335
330,3519573803
331,3519573803
332,6953377947
333,2842734585
334,2607402170
335,3367219182
336,3519573803
337,4625146688
338,3519573803
339,3519573803
340,8370783999
341,7842828056
342,3519573803
343,2644451031
344,3130783943
345,7719312974
346,3060856145
347,4097181695
348,3579099580
349,8343190996
350,3519573803
351,3130783943
352,3282253869
353,3282253869
354,3473811890
355,7890230082
356,3814165220
357,3578877862
358,7443731555
359,2986636184
360,3130783943
361,8370783999
362,4352117650
363,3130783943
364,4385987791
365,6498158104
366,3130783943
367,3130783943
368,3130783943
369,3130783943
370,2997201235
371,3938877706
372,4470804345
373,3864218715
374,4349215777
375,2997201235
376,3688738328
377,3328766454
378,6452202045
379,3420548114
380,3591192516
381,7091411898
382,7091411898
383,3036641426
384,3336212950
385,3423928631
386,7091411898
387,3840524210
388,3475302798
389,6721466284
390,2995482368
391,3842443808
392,4814785998
393,6818111825
394,7091411898
395,8355913522
396,4825487767
397,3849859315
398,7433742952
399,4427865308
400,7458742626
401,3609866510
402,2716154994
403,4385987791
404,4825487767
405,7091411898
406,2931593783
407,3487199779
408,8482075295
409,3036641426
410,2986635957
411,8153284702
