userid,text
3601130240,钟南山回应新冠肺炎源头，钟南山称疫情发生在武汉不等于源头在武汉，没有证据，这是科学问题，没有搞清楚就下结论是不负责任的。（人民日报）   ????#世卫称中国新冠0新增是一项了不起的成就#   ????   ????  L扛旗少年的微博视频 ?
3591192516,方舱旅行社   ????#世卫称中国新冠0新增是一项了不起的成就#   ????  L爱国知青的微博视频 ?
7209956058,#世卫组织称欧洲应学习中国经验##世卫称中国新冠0新增是一项了不起的成就# 氪金 O世卫称中国新冠0新增是一项了不起的成就，中国抗疫成功的关键点是什么？ ?
4391587116,【世卫称中国新冠0新增是一项了不起的成就，中国抗疫成功的关键点是什么？】#世卫称中国新冠0新增是一项了不起的成就##世卫组织称欧洲应学习中国经验#当地时间19日，世卫组织总干事谭德塞在新冠肺炎代表团通报会上表示，中国首次没有报告本土新增病例，是一项了不起的成就。国内能抗疫成功的原因是什么？ 收起全文d
3654619123,钟南山回应新冠肺炎源头，钟南山称疫情发生在武汉不等于源头在武汉，没有证据，这是科学问题，没有搞清楚就下结论是不负责任的。（人民日报）   ????#世卫称中国新冠0新增是一项了不起的成就#   ????  L鲜事趣闻的微博视频 ?
6150220148,WCT#世卫称中国新冠0新增是一项了不起的成就# 那必须的！不过现在还不够安全，大家最好还是少出门简笔画安排！L捡知识的微博视频 ?
3590758848,方舱旅行社   ????#世卫称中国新冠0新增是一项了不起的成就#  L爱国这件事的微博视频 ?
3917127931,钟南山回应新冠肺炎源头，钟南山称疫情发生在武汉不等于源头在武汉，没有证据，这是科学问题，没有搞清楚就下结论是不负责任的。（人民日报）   ????#世卫称中国新冠0新增是一项了不起的成就#  L视频大队长的微博视频 ?
3374939773,#世卫称中国新冠0新增是一项了不起的成就#  中国了不起 ?
3525087077,#世卫称中国新冠0新增是一项了不起的成就##世卫组织称欧洲应学习中国经验#中国人团结一致的心。还有冲刺在最前线的战士们 O世卫称中国新冠0新增是一项了不起的成就，中国抗疫成功的关键点是什么？ ?
