,userid
0,6793945015
1,3578170100
2,2694617793
3,2609045333
4,4059553247
5,2599109923
6,3362400073
7,3796551404
8,3340220078
9,7601281552
10,3888228324
11,4480477205
12,2591266797
13,4303348147
14,8411767765
15,4478080320
16,3518786807
17,3762922471
18,4295409277
19,8204451725
20,6906767524
21,4063790403
22,3340220078
23,3253993533
24,6250681104
25,7527912582
26,7570139918
27,4297921496
28,7458862702
29,3642649705
30,3747524235
31,3398210252
32,2677728268
33,7901791708
34,6498028565
35,6967356884
36,4480477205
37,3796551404
38,4215216849
39,3199497363
40,4149437751
41,8962217448
42,3642649705
43,8042962948
44,4668834820
45,4005337659
46,3642649705
47,4430103201
48,2956361455
49,3809103201
50,3539456300
51,3246564690
52,3656866561
53,3011568984
54,7789050934
55,2599109923
56,3494709860
57,3590017020
58,3819605898
59,3117153335
60,7323199205
61,4162495408
62,3960204486
63,2599109923
64,4059850505
65,6211262077
66,7898124805
67,2682216525
68,2711004694
69,3245981198
70,4149437751
71,3340220078
72,2793085296
73,4480477205
74,8204408804
75,3017098159
76,7721975032
77,7606164592
78,2793085296
79,3246564690
80,7908464897
81,3431672203
82,4031649595
83,8270918962
84,4604375385
85,3011262776
86,8961379764
87,4347810216
88,7448901175
89,4341283132
90,3340220078
91,7636841569
92,4147864536
93,2994048890
94,2556735817
95,2598837084
96,6331741174
97,3747524235
98,2825667525
99,4147779373
100,3345462801
101,6728108584
102,3710989183
103,3590017020
104,3747524235
105,3514059568
106,3399735999
107,4825315661
108,3779472386
109,7038996675
110,4031649595
111,2606846783
112,2546893091
113,6684234829
114,4323955036
115,3747524235
116,3799762198
117,2783146994
118,8094515082
119,3346312277
120,4205875814
121,6844946979
122,4796547835
123,4460384886
124,7560781752
125,8035005364
126,7726586115
127,3382625624
128,3818858732
129,4958962648
130,2785836185
131,3510286028
132,8248876534
133,4417042777
134,2594296493
135,4147864536
136,3363287317
137,2956361455
138,2626619158
139,3956720371
140,4480477205
141,2697124904
142,6068277463
143,4898537662
144,3039672744
145,7478003109
146,8035265768
147,3418329943
148,4434441876
149,3486997933
150,3457505939
151,3249547760
152,8269664546
153,3313019099
154,7070391486
155,7362254649
156,3377237171
157,4476829940
158,4405593128
159,4111107685
160,3536108240
161,4517388829
162,3903691903
163,8234626859
164,4925559309
165,3564385265
166,2682057538
167,8172348992
168,3731456068
169,3402589001
170,4187285120
171,4454908195
172,7570139918
173,3731456068
174,3564385265
175,3878175144
176,6921499454
177,7431692452
178,2697124904
179,8720132415
180,6844946979
181,7069837375
182,8164556245
183,6829016695
184,3567335343
185,8345770446
186,3993982382
187,3529007927
188,6736706494
189,6846012304
190,3128526594
191,6443874778
192,3888228324
193,2706496301
194,2786078572
195,8003676818
196,4353664545
197,7023735369
198,7974055354
199,7988260666
200,6762644279
201,8206621768
202,4652737469
203,3894135591
204,2573029140
205,7257332897
206,2563274134
207,3297424449
208,2584946978
209,2584024442
210,4775664100
211,2573029140
212,7257332897
213,2563274134
214,4916439206
215,2955410149
216,3818858732
217,4115851231
218,4133526507
219,4059850505
220,6315699892
221,4441415462
222,4389684270
223,4721593526
224,7498321974
225,3121312160
226,8267096458
227,3711627794
228,3340220078
229,3011568984
230,4624235076
231,4874061014
232,3436897291
233,4256172455
234,3590017020
235,3868965333
236,3592783430
237,7403639336
238,3799762198
239,4257139085
240,3938691239
241,6715280865
242,7058813294
243,3486997933
244,7165383219
245,8163445825
246,4434441876
247,3377237171
248,7695502214
249,6128720424
250,4080250790
251,3965509859
252,3483143594
253,2728764750
254,7337590786
255,2902135421
256,3758465947
257,2902135421
258,3486997933
259,8278515864
260,7378374698
261,3486997933
262,8278515864
263,3758465947
264,7557691285
265,7394826034
266,4173686348
267,8259408822
268,6672614329
269,3338598868
270,4127171121
271,4059131503
272,6152153880
273,2671331298
274,4139487393
275,3092982409
276,3719639744
277,7338450414
278,3965509859
279,4147864536
280,2601774947
281,3971518688
282,3989480329
283,7897279597
284,2602058881
285,2977977819
286,4761979965
287,2601773387
288,7360240905
289,4143041107
290,8645951702
291,3282253869
292,3769475606
293,8266365217
294,7654382914
295,2599109923
296,3667080902
297,6757251998
298,8766697004
299,3402129861
300,3423426153
301,8733141479
302,7304500437
303,7608913852
304,3914753299
305,3483698116
306,3701665763
307,3590017020
308,3483698116
309,4346022017
310,3483698116
311,4480477205
312,2935946585
313,3782547085
314,4005410474
315,2995482368
316,2929092594
317,4854629881
318,3307935355
319,2686936663
320,3618836481
321,6352080319
322,3585902527
323,4293319108
324,3025619000
325,4792978301
326,3782547085
327,6818590667
328,2896087536
329,4391286602
330,8208058156
331,3245981198
332,2545916906
333,3819605898
334,4292913230
335,2815121591
336,4022399585
337,7453262547
338,7801350118
339,8293230345
340,3702623520
341,4238217865
342,4487175005
343,4732973697
344,7986204746
345,7545691148
346,4802777043
347,3340220078
348,8072439879
349,3762922471
350,7428417706
351,6829358376
352,3782547085
353,4480477205
354,6021658394
355,8685391655
356,3762922471
357,7398668318
358,3724992555
359,4013893098
360,6091201452
361,8270852674
362,4476544970
363,7701703066
364,3500087605
365,7166234839
366,3711157917
367,7948128306
368,7337998778
369,3590017020
370,4510578028
371,3782547085
372,2781187507
373,6785991832
374,3446332435
375,6084527772
376,2995482368
377,4821848669
378,8436105475
379,6828312286
380,7510502032
381,6832664422
382,6821315819
383,6084527772
384,4109311019
385,8249646195
386,7258287046
387,4330804562
388,3696816608
389,4598015938
390,8024553546
391,4743425093
392,2556818645
393,8575731928
394,4801511211
395,4481840776
396,7683113739
397,6701797272
398,4634005855
399,3617886192
400,4125632814
401,8208989606
402,8108288938
403,8254579159
404,8208989606
405,8103430898
406,8310810602
407,8328292206
408,3721093395
409,8276855527
410,6701797272
411,8336066274
412,8588142185
